"","Author","Year","Title","Journal","Volume","Issue","Pages"
"51015","Menge, B. A., Chan, F. and Lubchenco, J.",2008,"Response of a rocky intertidal ecosystem engineer and community dominant to climate change","Ecology Letters","11"," 2 ","151-162"
"70201","Echols, A. and Vitousek, P.",2012,"Managing water, harvesting results","Frontiers in Ecology and the Environment","10"," 1 ","3-3"
"53966","Stefanescu, C. and Traveset, A.",2009,"Factors influencing the degree of generalization in flower use by Mediterranean butterflies","Oikos","118"," 7 ","1109-1117"
"37743","Banks, P. B., Norrdahl, K., Nordstrom, M. and Korpimaki, E.",2004,"Dynamic impacts of feral mink predation on vole metapopulations in the outer archipelago of the Baltic Sea","Oikos","105","1","79-88"
"44961","Brady, S. G., Sipes, S., Pearson, A. and Danforth, B. N.",2006,"Recent and simultaneous origins of eusociality in halictid bees","Proceedings of the Royal Society B-Biological Sciences","273","1594","1643-1649"
"60001","Koenig, W. D., Hochachka, W. M., Zuckerberg, B. and Dickinson, J. L.",2010,"Ecological determinants of American crow mortality due to West Nile virus during its North American sweep","Oecologia","163"," 4 ","903-909"
"61520","Burton, A.",2010,"Fish-friendly green energy from streams?","Frontiers in Ecology and the Environment","8"," 10 ","510-510"
"57655","Zimmermann, M., Meir, P., Silman, M. R., Fedders, A., Gibbon, A., Malhi, Y., Urrego, D. H., Bush, M. B., Feeley, K. J., Garcia, K. C., Dargie, G. C., Farfan, W. R., Goetz, B. P., Johnson, W. T., Kline, K. M., Modi, A. T., Rurau, N. M. Q., Staudt, B. T. and Zamora, F.",2010,"No Differences in Soil Carbon Stocks Across the Tree Line in the Peruvian Andes","Ecosystems","13"," 1 ","62-74"
"58785","Rist, J., Milner-Gulland, E. J., Cowlishaw, G. and Rowcliffe, M.",2010,"Hunter Reporting of Catch per Unit Effort as a Monitoring Tool in a Bushmeat-Harvesting System","Conservation Biology","24"," 2 ","489-499"
"49519","Whitehead, H., McGill, B. and Worm, B.",2008,"Diversity of deep-water cetaceans in relation to temperature: implications for ocean warming","Ecology Letters","11"," 11 ","1198-1207"
