"","Author","Year","Title","Journal","Volume","Issue","Pages"
"71853","Urbanova, Z., Barta, J. and Picek, T.",2013,"Methane Emissions and Methanogenic Archaea on Pristine, Drained and Restored Mountain Peatlands, Central Europe","Ecosystems","16"," 4 ","664-677"
"72662","Roberts, D. L.",2013,"Refuge-Effect Hypothesis and the Demise of the Dodo","Conservation Biology","27"," 6 ","1478-1480"
"72158","Steiger, S. S., Valcu, M., Spoelstra, K., Helm, B., Wikelski, M. and Kempenaers, B.",2013,"When the sun never sets: diverse activity rhythms under continuous daylight in free-living arctic-breeding birds","Proceedings of the Royal Society B-Biological Sciences","280"," 1764 ",""
"39576","Madsen, T., Ujvari, B. and Olsson, M.",2005,"Old pythons stay fit; effects of haematozoan infections on life history traits of a large tropical predator","Oecologia","142","3","407-412"
"73091","Onofri, L. and Nunes, P. A. L. D.",2013,"Beach 'lovers' and 'greens': A worldwide empirical analysis of coastal tourism","Ecological Economics","88"," ","49-56"
"50036","Smith, D. A.",2008,"The spatial patterns of indigenous wildlife use in western Panama: Implications for conservation management","Biological Conservation","141"," 4 ","925-937"
"51892","Hasholt, B., Mernild, S. H., Sigsgaard, C., Elberling, B., Petersen, D., Jakobsen, B. H., Hansen, B. U., Hinkler, J. and Sogaard, H.",2008,"Hydrology and transport of sediment and solutes at Zackenberg","Advances in Ecological Research, Vol 40","40"," ","197-221"
"49072","Bergman, M., Gotthard, K., Berger, D., Olofsson, M., Kemp, D. J. and Wiklund, C.",2007,"Mating success of resident versus non-resident males in a territorial butterfly","Proceedings of the Royal Society B-Biological Sciences","274"," 1618 ","1659-1665"
"66159","Brusatte, S. L., Niedzwiedzki, G. and Butler, R. J.",2011,"Footprints pull origin and diversification of dinosaur stem lineage deep into Early Triassic","Proceedings of the Royal Society B-Biological Sciences","278"," 1708 ","1107-1113"
"39474","McCarthy, M. A., Thompson, C. J. and Possingham, H. P.",2005,"Theory for designing nature reserves for single species","American Naturalist","165","2","250-257"
"54158","Seabloom, E. W., Borer, E. T., Jolles, A. and Mitchell, C. E.",2009,"Direct and indirect effects of viral pathogens and the environment on invasive grass fecundity in Pacific Coast grasslands","Journal of Ecology","97"," 6 ","1264-1273"
"39610","Long, Z. T. and Morin, P. J.",2005,"Effects of organism size and community composition on ecosystem functioning","Ecology Letters","8","12","1271-1282"
"62015","Ahrens, T. D., Lobell, D. B., Ortiz-Monasterio, J. I., Li, Y. and Matson, P. A.",2010,"Narrowing the agronomic yield gap with improved nitrogen use efficiency: a modeling approach","Ecological Applications","20"," 1 ","91-100"
"45757","Tsounis, G., Rossi, S., Gili, J. M. and Arntz, W. E.",2007,"Red coral fishery at the costa brava (NW mediterranean): Case study of an overharvested precious coral","Ecosystems","10","6","975-986"
"74818","Giese, M., Brueck, H., Gao, Y. Z., Lin, S., Steffens, M., Kogel-Knabner, I., Glindemann, T., Susenbeth, A., Taube, F., Butterbach-Bahl, K., Zheng, X. H., Hoffmann, C., Bai, Y. F. and Han, X. G.",2013,"N balance and cycling of Inner Mongolia typical steppe: a comprehensive case study of grazing effects","Ecological Monographs","83"," 2 ","195-219"
"73930","Large, S. I. and Smee, D. L.",2013,"Biogeographic variation in behavioral and morphological responses to predation risk","Oecologia","171"," 4 ","961-969"
"74037","Koskela, J., Lefevre, F., Schueler, S., Kraigher, H., Olrik, D. C., Hubert, J., Longauer, R., Bozzano, M., Yrjana, L., Alizoti, P., Rotach, P., Vietto, L., Bordacs, S., Myking, T., Eysteinsson, T., Souvannavong, O., Fady, B., De Cuyper, B., Heinze, B., von Wuhlisch, G., Ducousso, A. and Ditlevsen, B.",2013,"Translating conservation genetics into management: Pan-European minimum requirements for dynamic conservation units of forest tree genetic diversity","Biological Conservation","157"," ","39-49"
"74877","Garrick, D., Whitten, S. M. and Coggan, A.",2013,"Understanding the evolution and performance of water markets and allocation policy: A transaction costs analysis framework","Ecological Economics","88"," ","195-205"
"61050","Donaldson-Matasci, M. C., Bergstrom, C. T. and Lachmann, M.",2010,"The fitness value of information","Oikos","119"," 2 ","219-230"
