"","Author","Year","Title","Journal","Volume","Issue","Pages"
"75791","Burtor, A.",2013,"400 million and counting","Frontiers in Ecology and the Environment","11"," 1 ","56-56"
"50118","Senior, K.",2008,"Reducing forest fires in Guatemala","Frontiers in Ecology and the Environment","6"," 4 ","174-174"
"33025","Kozlov, M. V.",2003,"Are fast growing birch leaves more asymmetrical?","Oikos","101","3","654-658"
"4125","Wolfe, L. M. and Barrett, S. C. H.",1987,"Pollinator Foraging Behavior and Pollen Collection on the Floral Morphs of Tristylous Pontederia-Cordata L","Oecologia","74","3","347-351"
"54996","Monclus, R., Palomares, F., Tablado, Z., Martinez-Fonturbel, A. and Palme, R.",2009,"Testing the threat-sensitive predator avoidance hypothesis: physiological responses and predator pressure in wild rabbits","Oecologia","158"," 4 ","615-623"
"55540","Kuosmanen, T., Bijsterbosch, N. and Dellink, R.",2009,"Environmental cost-benefit analysis of alternative timing strategies in greenhouse gas abatement: A data envelopment analysis approach","Ecological Economics","68"," 6 ","1633-1642"
"67325","Stott, I., Hodgson, D. J. and Townley, S.",2012,"popdemo: an R package for population demography using projection matrix analysis","Methods in Ecology and Evolution","3"," 5 ","797-802"
"32734","Melville, A. J. and Connolly, R. M.",2003,"Spatial analysis of stable isotope data to determine primary sources of nutrition for fish","Oecologia","136","4","499-507"
"17114","Ellison, A. M.",1996,"An introduction to Bayesian inference for ecological research and environmental decision-making","Ecological Applications","6","4","1036-1046"
"19125","Creel, S., Creel, N. M. and Monfort, S. L.",1997,"Radiocollaring and stress hormones in African wild dogs","Conservation Biology","11","2","544-548"
"73693","Losdat, S., Helfenstein, F., Blount, J. D., Marri, V., Maronde, L. and Richner, H.",2013,"Nestling erythrocyte resistance to oxidative stress predicts fledging success but not local recruitment in a wild bird","Biology Letters","9"," 1 ",""
"67920","Raihani, N. J. and McAuliffe, K.",2012,"Human punishment is motivated by inequity aversion, not a desire for reciprocity","Biology Letters","8"," 5 ","802-804"
"70340","Del Grosso, S. J. and Cavigelli, M. A.",2012,"Climate stabilization wedges revisited: can agricultural production and greenhouse-gas reduction goals be accomplished?","Frontiers in Ecology and the Environment","10"," 10 ","571-578"
"78260","Eckberg, J. O., Tenhumberg, B. and Louda, S. M.",2014,"Native insect herbivory limits population growth rate of a non-native thistle","Oecologia","175"," 1 ","129-138"
"54875","Nel, J. L., Reyers, B., Roux, D. J. and Cowlingc, R. M.",2009,"Expanding protected areas beyond their terrestrial comfort zone: Identifying spatial options for river conservation","Biological Conservation","142"," 8 ","1605-1616"
"9591","Varga, J.",1992,"Analysis of the Fauna of Protected Moss Species","Biological Conservation","59"," 2-3 ","171-173"
"32097","Saino, N., Suffritti, C., Martinelli, R., Rubolini, D. and Moller, A. P.",2003,"Immune response covaries with corticosterone plasma levels under experimentally stressful conditions in nestling barn swallows (Hirundo rustica)","Behavioral Ecology","14","3","318-325"
"2862","Lange, O. L., Tenhunen, J. D. and Beyschlag, W.",1985,"Effects of Humidity during Diurnal Courses on the Co2-Saturated and Light-Saturated Rate of Net Co2 Uptake in the Sclerophyllous Leaves of Arbutus-Unedo","Oecologia","67","2","301-304"
"51579","Kaandorp, J. A., Blom, J. G., Verhoef, J., Filatov, M., Postma, M. and Muller, W. E. G.",2008,"Modelling genetic regulation of growth and form in a branching sponge","Proceedings of the Royal Society B-Biological Sciences","275"," 1651 ","2569-2575"
"65125","Gomez-Mestre, I. and Diaz-Paniagua, C.",2011,"Invasive predatory crayfish do not trigger inducible defences in tadpoles","Proceedings of the Royal Society B-Biological Sciences","278"," 1723 ","3364-3370"
"42199","Sharma, D. C.",2006,"French ship exposes gaps in regulations","Frontiers in Ecology and the Environment","4","1","06-Jun"
"60811","Fischer, G., Winiwarter, W., Ermolieva, T., Cao, G. Y., Qui, H., Klimont, Z., Wiberg, D. and Wagner, F.",2010,"Integrated modeling framework for assessment and mitigation of nitrogen pollution from agriculture: Concept and case study for China","Agriculture Ecosystems & Environment","136"," 1-2 ","116-124"
"40863","Crawley, M. J., Johnston, A. E., Silvertown, J., Dodd, M., de Mazancourt, C., Heard, M. S., Henman, D. F. and Edwards, G. R.",2005,"Determinants of species richness in the park grass experiment","American Naturalist","165","2","179-192"
"45144","Bates, A. J., Sadler, J. P. and Fowles, A. P.",2006,"Condition-dependent dispersal of a patchily distributed riparian ground beetle in response to disturbance","Oecologia","150","1","50-60"
"45251","Apanius, V. and Nisbet, I. C. T.",2006,"Serum immunoglobulin G levels are positively related to reproductive performance in a long-lived seabird, the common tern (Sterna hirundo)","Oecologia","147","1","Dec-23"
"57206","Bowen, M. E., McAlpine, C. A., House, A. P. N. and Smith, G. C.",2009,"Agricultural landscape modification increases the abundance of an important food resource: Mistletoes, birds and brigalow","Biological Conservation","142"," 1 ","122-133"
"32455","Packer, C., Holt, R. D., Hudson, P. J., Lafferty, K. D. and Dobson, A. P.",2003,"Keeping the herds healthy and alert: implications of predator control for infectious disease","Ecology Letters","6","9","797-802"
"45088","Bentsen, C. L., Hunt, J., Jennions, M. D. and Brooks, R.",2006,"Complex multivariate sexual selection on male acoustic signaling in a wild population of Teleogryllus commodus","American Naturalist","167","4","E102-E116"
"23850","Arnold, K. E. and Owens, I. P. F.",1999,"Cooperative breeding in birds: the role of ecology","Behavioral Ecology","10","5","465-471"
"30322","Ives, A. R. and Hughes, J. B.",2002,"General relationships between species diversity and stability in competitive systems","American Naturalist","159","4","388-395"
"30806","Eggleton, P., Bignell, D. E., Hauser, S., Dibog, L., Norgrove, L. and Madong, B.",2002,"Termite diversity across an anthropogenic disturbance gradient in the humid forest zone of West Africa","Agriculture Ecosystems & Environment","90","2","189-202"
"6998","Winemiller, K. O. and Pianka, E. R.",1990,"Organization in Natural Assemblages of Desert Lizards and Tropical Fishes","Ecological Monographs","60","1","27-55"
"74161","Kartzinel, T. R., Trapnell, D. W. and Shefferson, R. P.",2013,"Critical importance of large native trees for conservation of a rare Neotropical epiphyte","Journal of Ecology","101"," 6 ","1429-1438"
"15777","White, A., Begon, M. and Bowers, R. G.",1996,"Explaining the colour of power spectra in chaotic ecological models","Proceedings of the Royal Society B-Biological Sciences","263","1377","1731-1737"
"71282","Almeida-Neto, M., Frensel, D. M. B. and Ulrich, W.",2012,"Rethinking the relationship between nestedness and beta diversity: a comment on Baselga (2010)","Global Ecology and Biogeography","21"," 7 ","772-777"
"63071","Ryder, T. B., Horton, B. M. and Moore, I. T.",2011,"Understanding testosterone variation in a tropical lek-breeding bird","Biology Letters","7"," 4 ","506-509"
"49366","Zobitz, J. M., Moore, D. J. P., Sacks, W. J., Monson, R. K., Bowling, D. R. and Schimel, D. S.",2008,"Integration of process-based soil respiration models with whole-ecosystem CO2 measurements","Ecosystems","11"," 2 ","250-269"
"11998","Ferrari, C., Bonafede, F. and Alessandrini, A.",1993,"Rare Plants of the Emilia-Romagna Region (Northern Italy) - a Data-Bank and Computer-Mapped Atlas for Conservation Purposes","Biological Conservation","64","1","Nov-18"
"13008","Morris, W. F., Kareiva, P. M. and Raymer, P. L.",1994,"Do Barren Zones and Pollen Traps Reduce Gene Escape from Transgenic Crops","Ecological Applications","4","1","157-165"
"73210","Nehrke, G., Keul, N., Langer, G., de Nooijer, L. J., Bijma, J. and Meibom, A.",2013,"A new model for biomineralization and trace-element signatures of Foraminifera tests","Biogeosciences","10"," 10 ","6759-6767"
"46385","Richardson, A. D., Jenkins, J. P., Braswell, B. H., Hollinger, D. Y., Ollinger, S. V. and Smith, M. L.",2007,"Use of digital webcam images to track spring green-up in a deciduous broadleaf forest","Oecologia","152"," 2 ","323-334"
"54855","Newton, E. L., Bullock, J. M. and Hodgson, D. J.",2009,"Glucosinolate polymorphism in wild cabbage (Brassica oleracea) influences the structure of herbivore communities","Oecologia","160"," 1 ","63-76"
"26477","Wiegand, K., Sarre, S. D., Henle, K., Stephan, T., Wissel, C. and Brandl, R.",2001,"Demographic stochasticity does not predict persistence of gecko populations","Ecological Applications","11","6","1738-1749"
"34079","Chase, J. M.",2003,"Community assembly: when should history matter?","Oecologia","136","4","489-498"
"63048","Saltz, J. B. and Foley, B. R.",2011,"Natural Genetic Variation in Social Niche Construction: Social Effects of Aggression Drive Disruptive Sexual Selection in Drosophila melanogaster","American Naturalist","177"," 5 ","645-654"
"15741","Wilson, J. B., Ullmann, I. and Bannister, P.",1996,"Do species assemblages ever recur?","Journal of Ecology","84","3","471-474"
"8663","Navon, A., Melamedmadjar, V., Zur, M. and Benmoshe, E.",1991,"Effects of Cotton Cultivars on Feeding of Heliothis-Armigera and Spodoptera-Littoralis Larvae and on Oviposition of Bemisia-Tabaci","Agriculture Ecosystems & Environment","35","1","73-80"
"5103","Stonedahl, G. M.",1988,"Revisions of Dioclerus, Harpedona, Mertila, Myiocapsus, Prodromus, and Thaumastomiris (Heteroptera, Miridae, Bryocorinae, Eccritotarsini)","Bulletin of the American Museum of Natural History","187","1","1-199"
"60886","Faria, J. J., Krause, S. and Krause, J.",2010,"Collective behavior in road crossing pedestrians: the role of social information","Behavioral Ecology","21"," 6 ","1236-1242"
"1673","Tyler, C.",1984,"Calcareous Fens in South Sweden - Previous Use, Effects of Management and Management Recommendations","Biological Conservation","30","1","69-89"
"69568","Hilborn, R., Stewart, I. J., Branch, T. A. and Jensen, O. P.",2012,"Defining Trade-Offs among Conservation, Profitability, and Food Security in the California Current Bottom-Trawl Fishery","Conservation Biology","26"," 2 ",""
"62365","Wakefield, E. D., Phillips, R. A., Trathan, P. N., Arata, J., Gales, R., Huin, N., Robertson, G., Waugh, S. M., Weimerskirch, H. and Matthiopoulos, J.",2011,"Habitat preference, accessibility, and competition limit the global distribution of breeding Black-browed Albatrosses","Ecological Monographs","81"," 1 ","141-167"
"55269","Malhado, A. C. M., Malhi, Y., Whittaker, R. J., Ladle, R. J., ter Steege, H., Phillips, O. L., Butt, N., Aragao, L. E. O. C., Quesada, C. A., Araujo-Murakami, A., Arroyo, L., Peacock, J., Lopez-Gonzalez, G., Baker, T. R., Anderson, L. O., Almeida, S., Higuchi, N., Killeen, T. J., Monteagudo, A., Neill, D., Pitman, N., Prieto, A., Salomao, R. P., Vasquez-Martinez, R. and Laurance, W. F.",2009,"Spatial trends in leaf size of Amazonian rainforest trees","Biogeosciences","6"," 8 ","1563-1576"
"40661","Eckstein, R. L. and Donath, T. W.",2005,"Interactions between litter and water availability affect seedling emergence in four familial pairs of floodplain species","Journal of Ecology","93","4","807-816"
"11189","Schlyter, F. and Anderbrant, O.",1993,"Competition and Niche Separation between 2 Bark Beetles - Existence and Mechanisms","Oikos","68","3","437-447"
"55289","MacNulty, D. R., Smith, D. W., Vucetich, J. A., Mech, L. D., Stahler, D. R. and Packer, C.",2009,"Predatory senescence in ageing wolves","Ecology Letters","12"," 12 ","1347-1356"
"42332","Salzer, J., Matezki, S. and Kazda, M.",2006,"Nutritional differences and leaf acclimation of climbing plants and the associated vegetation in different types of an Andean montane rainforest","Oecologia","147","3","417-425"
"27886","Herman, L. H.",2001,"Catalog of the Staphylinidae (Insecta : Coleoptera). 1758 to the end of the second millennium. III. Oxyteline group","Bulletin of the American Museum of Natural History"," ","265","1067-+"
"72427","Schuett, W., Dall, S. R. X., Wilson, A. J. and Royle, N. J.",2013,"Environmental transmission of a personality trait: foster parent exploration behaviour predicts offspring exploration behaviour in zebra finches","Biology Letters","9"," 4 ",""
"2004","Lewin, R. A.",1984,"Marine Ecology - Levington,Js","Journal of Ecology","72","1","358-359"
"56999","Charles, H. and Dukes, J. S.",2009,"Effects of warming and altered precipitation on plant and nutrient dynamics of a New England salt marsh","Ecological Applications","19"," 7 ","1758-1773"
"75134","Essenberg, C. J.",2013,"Explaining the Effects of Floral Density on Flower Visitor Species Composition","American Naturalist","181"," 3 ","344-356"
"31667","Umbanhowar, J., Maron, J. and Harrison, S.",2003,"Density-dependent foraging behaviors in a parasitoid lead to density-dependent parasitism of its host","Oecologia","137","1","123-130"
"69720","Gupta, M., Garg, N. K., Joshi, H. and Sharma, M. P.",2012,"Persistence and mobility of 2,4-D in unsaturated soil zone under winter wheat crop in sub-tropical region of India","Agriculture Ecosystems & Environment","146"," 1 ","60-72"
"57631","Acquisti, C., Kumar, S. and Elser, J. J.",2009,"Signatures of nitrogen limitation in the elemental composition of the proteins involved in the metabolic apparatus","Proceedings of the Royal Society B-Biological Sciences","276"," 1667 ","2605-2610"
"22316","Petraitis, P. S. and Dudgeon, S. R.",1999,"Experimental evidence for the origin of alternative communities on rocky intertidal shores","Oikos","84","2","239-245"
"56908","Collen, B., Loh, J., Whitmee, S., Mcrae, L., Amin, R. and Baillie, J. E. M.",2009,"Monitoring Change in Vertebrate Abundance: the Living Planet Index","Conservation Biology","23"," 2 ","317-327"
"76804","Steele, M. A., Contreras, T. A., Hadj-Chikh, L. Z., Agosta, S. J., Smallwood, P. D. and Tomlinson, C. N.",2014,"Do scatter hoarders trade off increased predation risks for lower rates of cache pilferage?","Behavioral Ecology","25"," 1 ","206-215"
"8300","Vandermeulen, F., Witter, J. V. and Arens, S. M.",1991,"The Use of Gis in Assessing the Impacts of Sea-Level Rise on Nature Conservation Along the Dutch Coast - 1990-2090 - a Landscape Ecological Study of the Foredunes with Help of a Geographic Information-System","Landscape Ecology","6"," 1-2 ","105-113"
"24473","Ruzzante, D. E., Taggart, C. T., Lang, S. and Cook, D.",2000,"Mixed-stock analysis of Atlantic cod near the Gulf of St. Lawrence based on microsatellite DNA","Ecological Applications","10","4","1090-1109"
"39835","King, R. J. H., Bateson, P., Eves, H. E., Wolf, C. M., Nelson, F., Kerasote, T. and Yaich, S. C.",2005,"The ethics of hunting","Frontiers in Ecology and the Environment","3","7","392-397"
