"","Author","Year","Title","Journal","Volume","Issue","Pages"
"45288","Alston, K. P. and Richardson, D. M.",2006,"The roles of habitat features, disturbance, and distance from putative source populations in structuring alien plant invasions at the urban/wildland interface on the Cape Peninsula, South Africa","Biological Conservation","132","2","183-198"
"45148","Barton, K. E. and Bowers, M. D.",2006,"Neighbor species differentially alter resistance phenotypes in Plantago","Oecologia","150","3","442-452"
"41312","Bartolome, J., Plaixats, J., Fanlo, R. and Boada, M.",2005,"Conservation of isolated Atlantic heathlands in the Mediterranean region: effects of land-use changes in the Montseny biosphere reserve (Spain)","Biological Conservation","122","1","81-88"
"58207","Thompson, K., Petchey, O. L., Askew, A. P., Dunnett, N. P., Beckerman, A. P. and Willis, A. J.",2010,"Little evidence for limiting similarity in a long-term study of a roadside plant community","Journal of Ecology","98"," 2 ","480-487"
"58864","Ratikainen, I. I., Wright, J. and Kazem, A. J. N.",2010,"Social class influences degree of variance sensitivity in wild Siberian jays","Behavioral Ecology","21"," 5 ","1067-1072"
"47222","Loehr, V. J. T., Hofmeyr, M. D. and Henen, B. T.",2007,"Growing and shrinking in the smallest tortoise, Homopus signatus signatus: the importance of rain","Oecologia","153"," 2 ","479-488"
"69349","Jeppesen, E., Sondergaard, M., Lauridsen, T. L., Davidson, T. A., Liu, Z. W., Mazzeo, N., Trochine, C., Ozkan, K., Jensen, H. S., Trolle, D., Starling, F., Lazzaro, X., Johansson, L. S., Bjerring, R., Liboriussen, L., Larsen, S. E., Landkildehus, F., Egemose, S. and Meerhoff, M.",2012,"Biomanipulation as a Restoration Tool to Combat Eutrophication: Recent Advances and Future Challenges","Advances in Ecological Research, Vol 47: Global Change in Multispecies Systems, Pt 2","47"," ","411-488"
"55811","Jennings, N. and Pocock, M. J. O.",2009,"Relationships between Sensitivity to Agricultural Intensification and Ecological Traits of Insectivorous Mammals and Arthropods","Conservation Biology","23"," 5 ","1195-1203"
"67257","Takahara, T., Kohmatsu, Y., Maruyama, A., Doi, H., Yamanaka, H. and Yamaoka, R.",2012,"Inducible defense behavior of an anuran tadpole: cue-detection range and cue types used against predator","Behavioral Ecology","23"," 4 ","863-868"
"36218","Law, B. E., Turner, D., Campbell, J., Sun, O. J., Van Tuyl, S., Ritts, W. D. and Cohen, W. B.",2004,"Disturbance and climate effects on carbon stocks and fluxes across Western Oregon USA","Global Change Biology","10","9","1429-1444"
"64316","Laurent, E.",2011,"Issues in environmental justice within the European Union","Ecological Economics","70"," 11 ","1846-1853"
"35067","Soha, J. A., Nelson, D. A. and Parker, P. G.",2004,"Genetic analysis of song dialect populations in Puget Sound white-crowned sparrows","Behavioral Ecology","15","4","636-646"
"74831","Gholamhoseini, M., AghaAlikhani, M., Mirlatifi, S. M. and Sanavy, S. A. M. M.",2013,"Weeds - Friend or foe? Increasing forage yield and decreasing nitrate leaching on a corn forage farm infested by redroot pigweed","Agriculture Ecosystems & Environment","179"," ","151-162"
"47722","Hoyle, M. and Cresswell, J. E.",2007,"The effect of wind direction on cross-pollination in wind-pollinated GM crops","Ecological Applications","17"," 4 ","1234-1243"
"57902","Way, D. A., Ladeau, S. L., McCarthy, H. R., Clark, J. S., Oren, R., Finzi, A. C. and Jackson, R. B.",2010,"Greater seed production in elevated CO2 is not accompanied by reduced seed quality in Pinus taeda L.","Global Change Biology","16"," 3 ","1046-1056"
"59649","Magura, T., Horvath, R. and Tothmeresz, B.",2010,"Effects of urbanization on ground-dwelling spiders in forest patches, in Hungary","Landscape Ecology","25"," 4 ","621-629"
"41404","Anthofer, J. and Kroschel, J.",2005,"Above-ground biomass, nutrients, and persistence of an early and a late maturing Mucuna variety in the Forest-Savannah Transitional Zone of Ghana","Agriculture Ecosystems & Environment","110"," 1-2 ","59-77"
"70531","Condamine, F. L., Sperling, F. A. H., Wahlberg, N., Rasplus, J. Y. and Kergoat, G. J.",2012,"What causes latitudinal gradients in species diversity? Evolutionary processes and ecological constraints on swallowtail biodiversity","Ecology Letters","15"," 3 ","267-277"
"43824","Holen, O. H. and Johnstone, R. A.",2006,"Context-dependent discrimination and the evolution of mimicry","American Naturalist","167","3","377-389"
"43631","Kautz, R., Kawula, R., Hoctor, T., Comiskey, J., Jansen, D., Jennings, D., Kasbohm, J., Mazzotti, F., McBride, R., Richardson, L. and Root, K.",2006,"How much is enough? Landscape-scale conservation for the Florida panther","Biological Conservation","130","1","118-133"
"69049","Lachlan, R. F. and Nowicki, S.",2012,"How Reliable Is Song Learning Accuracy as a Signal of Male Early Condition?","American Naturalist","180"," 6 ","751-761"
"53224","Askegaard, M. and Eriksen, J.",2008,"Residual effect and leaching of N and K in cropping systems with clover and ryegrass catch crops on a coarse sand","Agriculture Ecosystems & Environment","123"," 1-3 ","99-108"
"67170","Tingley, M. W., Koo, M. S., Moritz, C., Rush, A. C. and Beissinger, S. R.",2012,"The push and pull of climate change causes heterogeneous shifts in avian elevational ranges","Global Change Biology","18"," 11 ","3279-3290"
"46450","Raiesi, F.",2007,"The conversion of overgrazed pastures to almond orchards and alfalfa cropping systems may favor microbial indicators of soil quality in Central Iran","Agriculture Ecosystems & Environment","121"," 4 ","309-318"
"40875","Coudun, C. and Gegout, J. C.",2005,"Ecological behaviour of herbaceous forest species along a pH gradient: a comparison between oceanic and semicontinental regions in northern France","Global Ecology and Biogeography","14","3","263-270"
"45014","Boisvenue, C. and Running, S. W.",2006,"Impacts of climate change on natural forest productivity - evidence since the middle of the 20th century","Global Change Biology","12","5","862-882"
"74217","Jones, N. T., Husband, B. C. and MacDougall, A. S.",2013,"Reproductive system of a mixed-mating plant responds to climate perturbation by increased selfing","Proceedings of the Royal Society B-Biological Sciences","280"," 1766 ",""
"37700","Beck, H., Gaines, M. S., Hines, J. E. and Nichols, J. D.",2004,"Comparative dynamics of small mammal populations in treefall gaps and surrounding understorey within Amazonian rainforest","Oikos","106","1","27-38"
