"","Author","Year","Title","Journal","Volume","Issue","Pages"
"72244","Smith, W. N., Grant, B. B., Desjardins, R. L., Kroebel, R., Li, C., Qian, B., Worth, D. E., McConkey, B. G. and Drury, C. F.",2013,"Assessing the effects of climate change on crop production and GHG emissions in Canada","Agriculture Ecosystems & Environment","179"," ","139-150"
"46185","Schlacher, T. A., Dugan, J., Schoeman, D. S., Lastra, M., Jones, A., Scapini, F., McLachlan, A. and Defeo, O.",2007,"Sandy beaches at the brink","Diversity and Distributions","13"," 5 ","556-560"
"6788","Choe, J. C. and Kim, K. C.",1989,"Microhabitat Selection and Coexistence in Feather Mites (Acari, Analgoidea) on Alaskan Seabirds","Oecologia","79","1","Oct-14"
"61750","Bell, G. W., Eggleston, D. B. and Noga, E. J.",2010,"Molecular keys unlock the mysteries of variable survival responses of blue crabs to hypoxia","Oecologia","163"," 1 ","57-68"
"63823","Moorad, J. A. and Promislow, D. E. L.",2011,"Evolutionary demography and quantitative genetics: age-specific survival as a threshold trait","Proceedings of the Royal Society B-Biological Sciences","278"," 1702 ","144-151"
"18675","Huber, H. and Hutchings, M. J.",1997,"Differential response to shading in orthotropic and plagiotropic shoots of the clonal herb Glechoma hirsuta","Oecologia","112","4","485-491"
"56777","Daudu, C. K., Muchaonyerwa, P. and Mnkeni, P. N. S.",2009,"Litterbag decomposition of genetically modified maize residues and their constituent Bacillus thuringiensis protein (Cry1Ab) under field conditions in the central region of the Eastern Cape, South Africa","Agriculture Ecosystems & Environment","134"," 3-4 ","153-158"
"57177","Breitbarth, E., Gelting, J., Walve, J., Hoffmann, L. J., Turner, D. R., Hassellov, M. and Ingri, J.",2009,"Dissolved iron (II) in the Baltic Sea surface water and implications for cyanobacterial bloom development","Biogeosciences","6"," 11 ","2397-2420"
"38782","Ronsted, N., Weiblen, G. D., Cook, J. M., Salamin, N., Machado, C. A. and Savolainen, V.",2005,"60 million years of co-divergence in the fig-wasp symbiosis","Proceedings of the Royal Society B-Biological Sciences","272","1581","2593-2599"
"26533","Wagner, H. H. and Edwards, P. J.",2001,"Quantifying habitat specificity to assess the contribution of a patch to species richness at a landscape scale","Landscape Ecology","16","2","121-131"
"1456","Caldwell, M. M., Harris, G. W. and Dzurec, R. S.",1983,"A Fiber Optic Point Quadrat System for Improved Accuracy in Vegetation Sampling","Oecologia","59"," 2-3 ","417-418"
"57807","Wolak, M. E., Gilchrist, G. W., Ruzicka, V. A., Nally, D. M. and Chambers, R. M.",2010,"A Contemporary, Sex-Limited Change in Body Size of an Estuarine Turtle in Response to Commercial Fishing","Conservation Biology","24"," 5 ","1268-1277"
"63456","Perakis, S. S., Sinkhorn, E. R. and Compton, J. E.",2011,"delta N-15 constraints on long-term nitrogen balances in temperate forests","Oecologia","167"," 3 ","793-807"
"8412","Sillman, A. J., Ronan, S. J. and Loew, E. R.",1991,"Histology and Microspectrophotometry of the Photoreceptors of a Crocodilian, Alligator-Mississippiensis","Proceedings of the Royal Society B-Biological Sciences","243","1306","93-98"
"27288","Muller-Graf, C. D. M., Jobet, E., Cloarec, A., Rivault, C., van Baalen, M. and Morand, S.",2001,"Population dynamics of host-parasite interactions in a cockroach-oxyuroid system","Oikos","95","3","431-440"
"74083","Kingma, S. A., Hall, M. L. and Peters, A.",2013,"Breeding synchronization facilitates extrapair mating for inbreeding avoidance","Behavioral Ecology","24"," 6 ","1390-1397"
"29148","Takei, S. and Somiya, H.",2002,"Guanine-type retinal tapetum and ganglion cell topography in the retina of a carangid fish, Kaiwarinus equula","Proceedings of the Royal Society B-Biological Sciences","269","1486","75-82"
"70888","Boots, M. and Roberts, K. E.",2012,"Maternal effects in disease resistance: poor maternal environment increases offspring resistance to an insect virus","Proceedings of the Royal Society B-Biological Sciences","279"," 1744 ","4009-4014"
"50848","Nassauer, J. I. and Opdam, P.",2008,"Design in science: extending the landscape ecology paradigm","Landscape Ecology","23"," 6 ","633-644"
"19101","Daly, H. E.",1997,"Georgescu-Roegen versus Solow/Stiglitz","Ecological Economics","22","3","261-266"
"73254","Murrell, E. G. and Juliano, S. A.",2013,"Predation resistance does not trade off with competitive ability in early-colonizing mosquitoes","Oecologia","173"," 3 ","1033-1042"
"10702","Campbell, B. D., Grime, J. P. and Mackey, J. M. L.",1992,"Shoot Thrust and Its Role in Plant Competition","Journal of Ecology","80","4","633-641"
"12099","Diaz, J. A. and Carrascal, L. M.",1993,"Variation in the Effect of Profitability on Prey Size Selection by the Lacertid Lizard Psammodromus-Algirus","Oecologia","94","1","23-29"
"76504","Yearsley, J. M. and Pothos, E. M.",2014,"Challenging the classical notion of time in cognition: a quantum perspective","Proceedings of the Royal Society B-Biological Sciences","281"," 1781 ",""
"33301","Hood, E. W., Williams, M. W. and Caine, N.",2003,"Landscape controls on organic and inorganic nitrogen leaching across an alpine/subalpine ecotone, Green Lakes Valley, Colorado Front Range","Ecosystems","6","1","31-45"
"12240","Bowman, D. M. J. S. and Panton, W. J.",1993,"Factors That Control Monsoon-Rain-Forest Seedling Establishment and Growth in North Australian Eucalyptus Savanna","Journal of Ecology","81","2","297-304"
"41155","Bossuyt, B., De Fre, B. and Hoffmann, M.",2005,"Abundance and flowering success patterns in a short-term grazed grassland: early evidence of facilitation","Journal of Ecology","93","6","1104-1114"
"68846","Liu, H., Edwards, E. J., Freckleton, R. P. and Osborne, C. P.",2012,"Phylogenetic niche conservatism in C-4 grasses","Oecologia","170"," 3 ","835-845"
"25782","Eriksen, J. and Askegaard, M.",2000,"Sulphate leaching in an organic crop rotation on sandy soil in Denmark","Agriculture Ecosystems & Environment","78","2","107-114"
"2961","Hemond, H. F. and Goldman, J. C.",1985,"On Non-Darcian Water-Flow in Peat","Journal of Ecology","73","2","579-584"
"20849","Haig, S. M., Mehlman, D. W. and Oring, L. W.",1998,"Avian movements and wetland connectivity in landscape conservation","Conservation Biology","12","4","749-758"
"41688","Welbergen, J. A. and Quader, S.",2006,"Mother guarding: how offspring may influence the extra-pair behaviour of their parents","Proceedings of the Royal Society B-Biological Sciences","273","1599","2363-2368"
"13241","Klijn, F. and Dehaes, H. A. U.",1994,"A Hierarchical Approach to Ecosystems and Its Implications for Ecological Land Classification","Landscape Ecology","9","2","89-104"
"21796","van Oene, H., van Deursen, E. J. M. and Berendse, F.",1999,"Plant-herbivore interaction and its consequences for succession in wetland ecosystems: A modeling approach","Ecosystems","2","2","122-138"
"72461","Scheiner, S. M.",2013,"The ecological literature, an idea-free distribution","Ecology Letters","16"," 12 ","1421-1423"
