"","Author","Year","Title","Journal","Volume","Issue","Pages"
"43666","Jukema, J. and Piersma, T.",2006,"Permanent female mimics in a lekking shorebird","Biology Letters","2","2","161-164"
"65097","Gowaty, P. A.",2011,"What is sexual selection and the short herstory of female trait variation","Behavioral Ecology","22"," 6 ","1146-1147"
"60241","Hutchings, M. J.",2010,"The population biology of the early spider orchid Ophrys sphegodes Mill. III. Demography over three decades","Journal of Ecology","98"," 4 ","867-878"
"37854","Alpert, P.",2004,"Managing the wild: should stewards be pilots?","Frontiers in Ecology and the Environment","2","9","494-495"
"55510","Lancaster, L. T., Hipsley, C. A. and Sinervo, B.",2009,"Female choice for optimal combinations of multiple male display traits increases offspring survival","Behavioral Ecology","20"," 5 ","993-999"
"65355","Foote, A. D., Morin, P. A., Durban, J. W., Pitman, R. L., Wade, P., Willerslev, E., Gilbert, M. T. P. and da Fonseca, R. R.",2011,"Positive selection on the killer whale mitogenome","Biology Letters","7"," 1 ","116-118"
"52399","Eimers, M. C., Watmough, S. A., Buttle, J. M. and Dillon, P. J.",2008,"Examination of the potential relationship between droughts, sulphate and dissolved organic carbon at a wetland-draining stream","Global Change Biology","14"," 4 ","938-948"
"60076","Kelkar, N., Krishnaswamy, J., Choudhary, S. and Sutaria, D.",2010,"Coexistence of Fisheries with River Dolphin Conservation","Conservation Biology","24"," 4 ","1130-1140"
"65194","Gentile, C. F., Yu, S. C., Serrano, S. A., Gerrish, P. J. and Sniegowski, P. D.",2011,"Competition between high- and higher-mutating strains of Escherichia coli","Biology Letters","7"," 3 ","422-424"
"53421","Xu, J. C., Grumbine, R. E., Shrestha, A., Eriksson, M., Yang, X. F., Wang, Y. and Wilkes, A.",2009,"The Melting Himalayas: Cascading Effects of Climate Change on Water, Biodiversity, and Livelihoods","Conservation Biology","23"," 3 ","520-530"
"54579","Plummer, M. L.",2009,"Assessing benefit transfer for the valuation of ecosystem services","Frontiers in Ecology and the Environment","7"," 1 ","38-45"
"70982","Bianucci, L., Fennel, K. and Denman, K. L.",2012,"Role of sediment denitrification in water column oxygen dynamics: comparison of the North American East and West Coasts","Biogeosciences","9"," 7 ","2673-2682"
"63785","Mortimer, E., van Vuuren, B. J., Lee, J. E., Marshall, D. J., Convey, P. and Chown, S. L.",2011,"Mite dispersal among the Southern Ocean Islands and Antarctica before the last glacial maximum","Proceedings of the Royal Society B-Biological Sciences","278"," 1709 ","1247-1255"
"75318","Deregnaucourt, S. and Gahr, M.",2013,"Horizontal transmission of the father's song in the zebra finch (Taeniopygia guttata)","Biology Letters","9"," 4 ",""
"63724","Nash, M. C., Troitzsch, U., Opdyke, B. N., Trafford, J. M., Russell, B. D. and Kline, D. I.",2011,"First discovery of dolomite and magnesite in living coralline algae and its geobiological implications","Biogeosciences","8"," 11 ","3331-3340"
"56225","Gowdy, J. and Krall, L.",2009,"The Fate of Nauru and the Global Financial Meltdown","Conservation Biology","23"," 2 ","257-258"
"38869","Reich, P. B., Oleksyn, J., Modrzynski, J., Mrozinski, P., Hobbie, S. E., Eissenstat, D. M., Chorover, J., Chadwick, O. A., Hale, C. M. and Tjoelker, M. G.",2005,"Linking litter calcium, earthworms and soil properties: a common garden test with 14 tree species","Ecology Letters","8","8","811-818"
"70840","Brady, M., Sahrbacher, C., Kellermann, K. and Happe, K.",2012,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services","Landscape Ecology","27"," 9 ","1363-1381"
"73938","Langlet, D., Geslin, E., Baal, C., Metzger, E., Lejzerowicz, F., Riedel, B., Zuschin, M., Pawlowski, J., Stachowitsch, M. and Jorissen, F. J.",2013,"Foraminiferal survival after long-term in situ experimentally induced anoxia","Biogeosciences","10"," 11 ","7463-7480"
"74169","Kardol, P., De Deyn, G. B., Laliberte, E., Mariotte, P. and Hawkes, C. V.",2013,"Biotic plant-soil feedbacks across temporal scales","Journal of Ecology","101"," 2 ","309-315"
"39490","Matyjasiak, P.",2005,"Birds associate species-specific acoustic and visual cues: recognition of heterospecific rivals by male blackcaps","Behavioral Ecology","16","2","467-471"
"77724","Kotlik, P., Markova, S., Vojtek, L., Stratil, A., Slechta, V., Hyrsl, P. and Searle, J. B.",2014,"Adaptive phylogeography: functional divergence between haemoglobins derived from different glacial refugia in the bank vole","Proceedings of the Royal Society B-Biological Sciences","281"," 1786 ",""
"54890","Nappi, A. and Drapeau, P.",2009,"Reproductive success of the black-backed woodpecker (Picoides arcticus) in burned boreal forests: Are burns source habitats?","Biological Conservation","142"," 7 ","1381-1391"
"37632","Bissels, S., Holzel, N., Donath, T. W. and Otte, A.",2004,"Evaluation of restoration success in alluvial grasslands under contrasting flooding regimes","Biological Conservation","118","5","641-650"
"68463","Mitchard, E. T. A., Saatchi, S. S., White, L. J. T., Abernethy, K. A., Jeffery, K. J., Lewis, S. L., Collins, M., Lefsky, M. A., Leal, M. E., Woodhouse, I. H. and Meir, P.",2012,"Mapping tropical forest biomass with radar and spaceborne LiDAR in Lope National Park, Gabon: overcoming problems of high biomass and persistent cloud","Biogeosciences","9"," 1 ","179-191"
"43629","Kear, B. P.",2006,"First gut contents in a Cretaceous sea turtle","Biology Letters","2","1","113-115"
"47055","Matlack, G. R. and Leu, N. A.",2007,"Persistence of dispersal-limited species in structured dynamic landscapes","Ecosystems","10"," 8 ","1287-1298"
"41146","Bowen, G. J., Wassenaar, L. I. and Hobson, K. A.",2005,"Global application of stable hydrogen and oxygen isotopes to wildlife forensics","Oecologia","143","3","337-348"
"52680","Colombo, A., Dercole, F. and Rinaldi, S.",2008,"Remarks on metacommunity synchronization with application to prey-predator systems","American Naturalist","171"," 4 ","430-442"
"51719","Hurteau, M. and North, M.",2008,"Mixed-conifer understory response to climate change, nitrogen, and fire","Global Change Biology","14"," 7 ","1543-1552"
"40990","Cavia, R., Villafane, I. E. G., Cittadino, E. A., Bilenca, D. N., Mino, M. H. and Busch, M.",2005,"Effects of cereal harvest on abundance and spatial distribution of the rodent Akodon azarae in central Argentina","Agriculture Ecosystems & Environment","107","1","95-99"
"37135","Diniz, J. A. F., Rangel, T. F. L. V. B. and Hawkins, B. A.",2004,"A test of multiple hypotheses for the species richness gradient of South American owls","Oecologia","140","4","633-638"
