"","Author","Year","Title","Journal","Volume","Issue","Pages"
"39937","Jokela, J., Taskinen, J., Mutikainen, P. and Kopp, K.",2005,"Virulence of parasites in hosts under environmental stress: experiments with anoxia and starvation","Oikos","108","1","156-164"
"28207","Falkenmark, M.",2001,"Feeding a world population of more than eight billion people. A challenge to science","Ecological Economics","39","2","309-311"
"30556","Grant, B. R. and Grant, P. R.",2002,"Lack of premating isolation at the base of a phylogenetic tree","American Naturalist","160","1","Jan-19"
"39630","Litrico, I., Pailler, T. and Thompson, J. D.",2005,"Gender variation and primary succession in a tropical woody plant, Antirhea borbonica (Rubiaceae)","Journal of Ecology","93","4","705-715"
"26980","Ricketts, T. H.",2001,"The matrix matters: Effective isolation in fragmented landscapes","American Naturalist","158","1","87-99"
"37070","Dynesius, M., Jansson, R., Johansson, M. E. and Nilsson, C.",2004,"Intercontinental similarities in riparian-plant diversity and sensitivity to river regulation","Ecological Applications","14","1","173-191"
"23539","Corbit, M., Marks, P. L. and Gardescu, S.",1999,"Hedgerows as habitat corridors for forest herbs in central New York, USA","Journal of Ecology","87","2","220-232"
"12344","Aronson, J., Kigel, J. and Shmida, A.",1993,"Reproductive Allocation Strategies in Desert and Mediterranean Populations of Annual Plants Grown with and without Water-Stress","Oecologia","93","3","336-342"
"19715","Thrall, P. H., Antonovics, J. and Wilson, W. G.",1998,"Allocation to sexual versus nonsexual disease transmission","American Naturalist","151","1","29-45"
"33114","Kean, J., Wratten, S., Tylianakis, J. and Barlow, N.",2003,"The population consequences of natural enemy enhancement, and implications for conservation biological control","Ecology Letters","6","7","604-612"
"47790","Hirayama, K., Ishida, K., Setsuko, S. and Tomaru, N.",2007,"Reduced seed production, inbreeding, and pollen shortage in a small population of a threatened tree, Magnolia stellata","Biological Conservation","136"," 2 ","315-323"
"61761","Beever, E. A., Ray, C., Mote, P. W. and Wilkening, J. L.",2010,"Testing alternative models of climate-mediated extirpations","Ecological Applications","20"," 1 ","164-178"
"18572","Kelly, P. E. and Larson, D. W.",1997,"Effects of rock climbing on populations of presettlement eastern white cedar (Thuja occidentalis) on cliffs of the Niagara Escarpment, Canada","Conservation Biology","11","5","1125-1132"
"1596","Winterbourn, M.",1984,"Dynamics of Lotic Ecosystems - Fontaine,Td, Bartell,Sm","Journal of Ecology","72","3","1083-1084"
"61249","Correa, M. M., Silva, P. S. D., Wirth, R., Tabarelli, M. and Leal, I. R.",2010,"How leaf-cutting ants impact forests: drastic nest effects on light environment and plant assemblages","Oecologia","162"," 1 ","103-115"
"6237","Pianka, E. R.",1989,"Desert Lizard Diversity - Additional Comments and Some Data","American Naturalist","134","3","344-364"
"47704","Humbert, S., Margni, M., Charles, R., Salazar, O. M. T., Quiros, A. L. and Jolliet, O.",2007,"Toxicity assessment of the main pesticides used in Costa Rica","Agriculture Ecosystems & Environment","118"," 1-4 ","183-190"
"71977","Thompson, G. J., Hurd, P. L. and Crespi, B. J.",2013,"Genes underlying altruism","Biology Letters","9"," 6 ",""
"16021","Siegel, J. J.",1996,"Subdivisions versus agriculture: From false assumptions come false alternatives","Conservation Biology","10","5","1473-1474"
"54436","Relyea, R. A.",2009,"A cocktail of contaminants: how mixtures of pesticides at low concentrations affect aquatic communities","Oecologia","159"," 2 ","363-376"
"78070","Goncalves, D., Costa, S. S., Teles, M. C., Silva, H., Ingles, M. and Oliveira, R. F.",2014,"Oestradiol and prostaglandin F2 alpha regulate sexual displays in females of a sex-role reversed fish","Proceedings of the Royal Society B-Biological Sciences","281"," 1778 ",""
"52450","Druckman, A., Bradley, P., Papathanasopoulou, E. and Jackson, T.",2008,"Measuring progress towards carbon reduction in the UK","Ecological Economics","66"," 4 ","594-604"
"17241","Cort, C. A.",1996,"A survey of the use of natural heritage data in local land-use planning","Conservation Biology","10","2","632-637"
"25488","Hector, A., Beale, A. J., Minns, A., Otway, S. J. and Lawton, J. H.",2000,"Consequences of the reduction of plant diversity for litter decomposition: effects through litter quality and microenvironment","Oikos","90","2","357-371"
"47388","Kullman, L.",2007,"Tree line population monitoring of Pinus sylvestris in the Swedish Scandes, 1973-2005: implications for tree line theory and climate change ecology","Journal of Ecology","95"," 1 ","41-52"
"10822","Banaszak, J.",1992,"Strategy for Conservation of Wild Bees in an Agricultural Landscape","Agriculture Ecosystems & Environment","40"," 1-4 ","179-192"
"59438","Michelena, P., Jeanson, R., Deneubourg, J. L. and Sibbald, A. M.",2010,"Personality and collective decision-making in foraging herbivores","Proceedings of the Royal Society B-Biological Sciences","277"," 1684 ","1093-1099"
"28164","Floater, G. J.",2001,"Habitat complexity, spatial interference, and ""minimum risk distribution"": A framework for population stability","Ecological Monographs","71","3","447-468"
"23243","Gibson, G. J., Gilligan, C. A. and Kleczkowski, A.",1999,"Predicting variability in biological control of a plant-pathogen system using stochastic models","Proceedings of the Royal Society B-Biological Sciences","266","1430","1743-1753"
"40503","Fisher, J. T., Boutin, S. and Hannon, S. J.",2005,"The protean relationship between boreal forest landscape structure and red squirrel distribution at multiple spatial scales","Landscape Ecology","20","1","73-82"
"54304","Rugani, R., Fontanari, L., Simoni, E., Regolin, L. and Vallortigara, G.",2009,"Arithmetic in newborn chicks","Proceedings of the Royal Society B-Biological Sciences","276"," 1666 ","2451-2460"
