"","Author","Year","Title","Journal","Volume","Issue","Pages"
"62890","Sheriff, M. J., Kenagy, G. J., Richter, M., Lee, T., Toien, O., Kohl, F., Buck, C. L. and Barnes, B. M.",2011,"Phenological variation in annual timing of hibernation and breeding in nearby populations of Arctic ground squirrels","Proceedings of the Royal Society B-Biological Sciences","278"," 1716 ","2369-2375"
"51586","Jule, K. R., Leaver, L. A. and Lea, S. E. G.",2008,"The effects of captive experience on reintroduction survival in carnivores: A review and analysis","Biological Conservation","141"," 2 ","355-363"
"54362","Rohr, J. R., Swan, A., Raffel, T. R. and Hudson, P. J.",2009,"Parasites, info-disruption, and the ecology of fear","Oecologia","159"," 2 ","447-454"
"70106","Fajardo, A. and McIntire, E. J. B.",2012,"Reversal of multicentury tree growth improvements and loss of synchrony at mountain tree lines point to changes in key drivers","Journal of Ecology","100"," 3 ","782-794"
"73118","Ohashi, K., Leslie, A. and Thomson, J. D.",2013,"Trapline foraging by bumble bees: VII. Adjustments for foraging success following competitor removal","Behavioral Ecology","24"," 3 ","768-778"
"60516","Grote, R., Keenan, T., Lavoir, A. V. and Staudt, M.",2010,"Process-based simulation of seasonality and drought stress in monoterpene emission models","Biogeosciences","7"," 1 ","257-274"
"52206","Freeman, A. S., Short, F. T., Isnain, I., Razak, F. A. and Coles, R. G.",2008,"Seagrass on the edge: Land-use practices threaten coastal seagrass communities in Sabah, Malaysia","Biological Conservation","141"," 12 ","2993-3005"
"45377","Yarrow, M. M. and Marin, V. H.",2007,"Toward conceptual cohesiveness: A historical analysis of the theory and utility of ecological boundaries and transition zones","Ecosystems","10","3","462-476"
"67330","Stone, E. L., Jones, G. and Harris, S.",2012,"Conserving energy at a cost to biodiversity? Impacts of LED lighting on bats","Global Change Biology","18"," 8 ","2458-2465"
"44278","Fitzgerald, E. M. G.",2006,"A bizarre new toothed mysticete (Cetacea) from Australia and the early evolution of baleen whales","Proceedings of the Royal Society B-Biological Sciences","273","1604","2955-2963"
