"","Author","Year","Title","Journal","Volume","Issue","Pages"
"58905","Qiu, S., Bergero, R., Forrest, A., Kaiser, V. B. and Charlesworth, D.",2010,"Nucleotide diversity in Silene latifolia autosomal and sex-linked genes","Proceedings of the Royal Society B-Biological Sciences","277"," 1698 ","3283-3290"
"78644","Bokony, V., Lendvai, A. Z., Vagasi, C. I., Patras, L., Pap, P. L., Nemeth, J., Vincze, E., Papp, S., Preiszner, B., Seress, G. and Liker, A.",2014,"Necessity or capacity? Physiological state predicts problem-solving performance in house sparrows","Behavioral Ecology","25"," 1 ","124-135"
"64797","House, C. M., Bleakley, B. H., Walling, C. A., Price, T. A. R., Stamper, C. E. and Moore, A. J.",2011,"The influence of maternal effects on indirect benefits associated with polyandry","Proceedings of the Royal Society B-Biological Sciences","278"," 1709 ","1177-1182"
"67441","Smittenberg, R. H., Gierga, M., Goransson, H., Christl, I., Farinotti, D. and Bernasconi, S. M.",2012,"Climate-sensitive ecosystem carbon dynamics along the soil chronosequence of the Damma glacier forefield, Switzerland","Global Change Biology","18"," 6 ","1941-1955"
"58838","Reijnders, P. J. H., Brasseur, S. M. J. M. and Meesters, E. H. W. G.",2010,"Earlier pupping in harbour seals, Phoca vitulina","Biology Letters","6"," 6 ","854-857"
"67776","Rojas, A. D., Kortner, G. and Geiser, F.",2012,"Cool running: locomotor performance at low body temperature in mammals","Biology Letters","8"," 5 ","868-870"
"49795","Tottrup, A. P., Thorup, K., Rainio, K., Yosef, R., Lehikoinen, E. and Rahbek, C.",2008,"Avian migrants adjust migration in response to environmental conditions en route","Biology Letters","4"," 6 ","685-688"
"49968","Steiger, S. S., Fidler, A. E., Valcu, M. and Kempenaers, B.",2008,"Avian olfactory receptor gene repertoires: evidence for a well-developed sense of smell in birds?","Proceedings of the Royal Society B-Biological Sciences","275"," 1649 ","2309-2317"
"51781","Hollister, J. W., August, P. V. and Paul, J. F.",2008,"Effects of spatial extent on landscape structure and sediment metal concentration relationships in small estuarine systems of the United States' Mid-Atlantic Coast","Landscape Ecology","23"," ","91-106"
"39453","McGuigan, K., Chenoweth, S. F. and Blows, M. W.",2005,"Phenotypic divergence along lines of genetic variance","American Naturalist","165","1","32-43"
"57534","Antoninka, A., Wolf, J. E., Bowker, M., Classen, A. T. and Johnson, N. C.",2009,"Linking above- and belowground responses to global change at community and ecosystem scales","Global Change Biology","15"," 4 ","914-929"
"70168","Ellison, A. M. and Baldwin, J. D.",2012,"Untitled","Ecological Monographs","82"," 1 ","1-2"
"47768","Hoffmann, L. J., Peeken, I. and Lochte, K.",2007,"Effects of iron on the elemental stoichiometry during EIFEX and in the diatoms Fragilariopsis kerguelensis and Chaetoceros dichaeta","Biogeosciences","4"," 4 ","569-579"
"55231","Marsico, T. D. and Hellmann, J. J.",2009,"Dispersal limitation inferred from an experimental translocation of Lomatium (Apiaceae) species outside their geographic ranges","Oikos","118"," 12 ","1783-1792"
"69026","Langmore, N. E., Feeney, W. E., Crowe-Riddell, J., Luan, H., Louwrens, K. M. and Cockburn, A.",2012,"Learned recognition of brood parasitic cuckoos in the superb fairy-wren Malurus cyaneus","Behavioral Ecology","23"," 4 ","798-805"
"40009","Iason, G. R., Lennon, J. J., Pakeman, R. J., Thoss, V., Beaton, J. K., Sim, D. A. and Elston, D. A.",2005,"Does chemical composition of individual Scots pine trees determine the biodiversity of their associated ground vegetation?","Ecology Letters","8","4","364-369"
"70045","Fletcher, D. and Dixon, P. M.",2012,"Modelling data from different sites, times or studies: weighted vs. unweighted regression","Methods in Ecology and Evolution","3"," 1 ","168-176"
"74200","Jozet-Alves, C. and Hebert, M.",2013,"Embryonic exposure to predator odour modulates visual lateralization in cuttlefish","Proceedings of the Royal Society B-Biological Sciences","280"," 1752 ",""
"37829","Andersson, J., Borg-Karlson, A. K. and Wiklund, C.",2004,"Sexual conflict and anti-aphrodisiac titre in a polyandrous butterfly: male ejaculate tailoring and absence of female control","Proceedings of the Royal Society B-Biological Sciences","271","1550","1765-1770"
