"","Author","Year","Title","Journal","Volume","Issue","Pages"
"40483","Foody, G. M., Atkinson, P. M., Gething, P. W., Ravenhill, N. A. and Kelly, C. K.",2005,"Identification of specific tree species in ancient semi-natural woodland from digital aerial sensor imagery","Ecological Applications","15","4","1233-1244"
"37083","Dunham, K. M., Robertson, E. F. and Grant, C. C.",2004,"Rainfall and the decline of a rare antelope, the tsessebe (Damaliscus lunatus lunatus), in Kruger National Park, South Africa","Biological Conservation","117","1","83-94"
"32403","Peer, B. D., Homan, H. J., Linz, G. M. and Bleier, W. J.",2003,"Impact of blackbird damage to sunflower: Bioenergetic and economic models","Ecological Applications","13","1","248-256"
"70030","Forcada, J., Trathan, P. N., Boveng, P. L., Boyd, I. L., Burns, J. M., Costa, D. P., Fedak, M., Rogers, T. L. and Southwell, C. J.",2012,"Responses of Antarctic pack-ice seals to environmental change and increasing krill fishing","Biological Conservation","149"," 1 ","40-50"
"78172","Fleming, C. H., Calabrese, J. M., Mueller, T., Olson, K. A., Leimgruber, P. and Fagan, W. F.",2014,"Non-Markovian maximum likelihood estimation of autocorrelated movement processes","Methods in Ecology and Evolution","5"," 5 ","462-472"
"36141","Lockwood, J. L. and Gilroy, J. J.",2004,"The portability of foodweb dynamics: reassembling an Australian eucalypt-psyllid-bird association within California","Global Ecology and Biogeography","13","5","445-450"
"54680","Parton, K. A.",2009,"A simple theory of induced genetic change","Frontiers in Ecology and the Environment","7"," 5 ","239-239"
"7012","Wikramanayake, E. D.",1990,"Conservation of Endemic Rain-Forest Fishes of Sri-Lanka - Results of a Translocation Experiment","Conservation Biology","4","1","32-37"
"30174","Komdeur, J., Magrath, M. J. L. and Krackow, S.",2002,"Pre-ovulation control of hatchling sex ratio in the Seychelles warbler","Proceedings of the Royal Society B-Biological Sciences","269","1495","1067-1072"
"74841","Gewin, V.",2013,"Ecologists weigh in on ""de-extinction"" debate","Frontiers in Ecology and the Environment","11"," 4 ","176-176"
"593","Brotherton, I.",1982,"National-Parks in Great-Britain and the Achievement of Nature Conservation Purposes","Biological Conservation","22","2","85-100"
"34742","Waltert, M., Mardiastuti, A. and Muhlenberg, M.",2004,"Effects of land use on bird species richness in Sulawesi, Indonesia","Conservation Biology","18","5","1339-1346"
"18576","Keith, D. A.",1997,"Combined effects of heat shock, smoke and darkness on germination of Epacris stuartii Stapf., an endangered fire-prone Australian shrub","Oecologia","112","3","340-344"
"41249","Berec, L., Schembri, P. J. and Boukal, D. S.",2005,"Sex determination in Bonellia viridis (Echiura : Bonelliidae): population dynamics and evolution","Oikos","108","3","473-484"
"74920","Fyumagwa, R., Gereta, E., Hassan, S., Kideghesho, J. R., Kohi, E. M., Keyyu, J., Magige, F., Mfunda, I. M., Mwakatobe, A., Ntalwila, J., Nyahongo, J. W., Runyoro, V. and Roskaft, E.",2013,"Roads as a Threat to the Serengeti Ecosystem","Conservation Biology","27"," 5 ","1122-1125"
"10636","Dale, M. P. and Causton, D. R.",1992,"The Ecophysiology of Veronica-Chamaedrys, V-Montana and V-Officinalis .4. Effects of Shading on Nutrient Allocations - a Field Experiment","Journal of Ecology","80","3","517-526"
