"","Author","Year","Title","Journal","Volume","Issue","Pages"
"53044","Bimonte, S.",2008,"The ""tragedy of tourism resources"" as the outcome of a strategic game A new analytical framework","Ecological Economics","67"," 3 ","457-464"
"56344","Garner, T. W. J., Walker, S., Bosch, J., Leech, S., Rowcliffe, J. M., Cunningham, A. A. and Fisher, M. C.",2009,"Life history tradeoffs influence mortality associated with the amphibian pathogen Batrachochytrium dendrobatidis","Oikos","118"," 5 ","783-791"
"49107","Beck, J.",2007,"The importance of amino acids in the adult diet of male tropical rainforest butterflies","Oecologia","151"," 4 ","741-747"
"65342","Forrester, D. I., Vanclay, J. K. and Forrester, R. I.",2011,"The balance between facilitation and competition in mixtures of Eucalyptus and Acacia changes as stands develop","Oecologia","166"," 1 ","265-272"
"52875","Buehler, D. M., Piersma, T., Matson, K. D. and Tieleman, B. I.",2008,"Seasonal Redistribution of Immune Function in a Migrant Shorebird: Annual-Cycle Effects Override Adjustments to Thermal Regime","American Naturalist","172"," 6 ","783-796"
"40924","Clarkson, B. R., Schipper, L. A., Moyersoen, B. and Silvester, W. B.",2005,"Foliar N-15 natural abundance indicates phosphorus limitation of bog species","Oecologia","144","4","550-557"
"39145","Ouellet, M., Mikaelian, I., Pauli, B. D., Rodrigue, J. and Green, D. M.",2005,"Historical evidence of widespread chytrid infection in North American amphibian populations","Conservation Biology","19","5","1431-1440"
"39761","Kryger, U., Deschodt, C. and Scholtz, C. H.",2005,"Effects of fluazuron and ivermectin treatment of cattle on the structure of dung beetle communities","Agriculture Ecosystems & Environment","105","4","649-656"
"53213","Augustine, D. J., Dinsmore, S. J., Wunder, M. B., Dreitz, V. J. and Knopf, F. L.",2008,"Response of mountain plovers to plague-driven dynamics of black-tailed prairie dog colonies","Landscape Ecology","23"," 6 ","689-697"
"57559","Anderson, K. E., Inouye, B. D. and Underwood, N.",2009,"Modeling herbivore competition mediated by inducible changes in plant quality","Oikos","118"," 11 ","1633-1646"
"68746","Macdonald, D. W., Johnson, P. J., Albrechtsen, L., Seymour, S., Dupain, J., Hall, A. and Fa, J. E.",2012,"Bushmeat trade in the Cross-Sanaga rivers region: Evidence for the importance of protected areas","Biological Conservation","147"," 1 ","107-114"
"49826","Thrush, S. F., Halliday, J., Hewitt, J. E. and Lohrer, A. M.",2008,"The effects of habitat loss, fragmentation, and community homogenization on resilience in estuaries","Ecological Applications","18"," 1 ","12-21"
"46786","Nguyen, T. N., Shaw, W. D., Woodward, R. T., Paterson, R. and Boyle, K.",2007,"An empirical study of option prices for hunting permits","Ecological Economics","63"," 2-3 ","476-484"
"64278","Lee, T. D., Barrott, S. H. and Reich, P. B.",2011,"Photosynthetic responses of 13 grassland species across 11 years of free-air CO2 enrichment is modest, consistent and independent of N supply","Global Change Biology","17"," 9 ","2893-2904"
"78055","Gourguet, S., Thebaud, O., Dichmont, C., Jennings, S., Little, L. R., Pascoe, S., Deng, R. A. and Doyen, L.",2014,"Risk versus economic performance in a mixed fishery","Ecological Economics","99"," ","110-120"
"40442","Fukami, T. and Wardle, D. A.",2005,"Long-term ecological dynamics: reciprocal insights from natural and anthropogenic gradients","Proceedings of the Royal Society B-Biological Sciences","272","1577","2105-2115"
"40168","Hassett, B., Palmer, M., Bernhardt, E., Smith, S., Carr, J. and Hart, D.",2005,"Restoring watersheds project by project: trends in Chesapeake Bay tributary restoration","Frontiers in Ecology and the Environment","3","5","259-267"
"46629","Paterson, S. and Barber, R.",2007,"Experimental evolution of parasite life-history traits in Strongyloides ratti (Nematoda)","Proceedings of the Royal Society B-Biological Sciences","274"," 1617 ","1467-1474"
"52884","Brunton, D. H., Evans, B., Cope, T. and Ji, W.",2008,"A test of the dear enemy hypothesis in female New Zealand bellbirds (Anthornis melanura): female neighbors as threats","Behavioral Ecology","19"," 4 ","791-798"
"47648","Jacobs, D. F.",2007,"Toward development of silvical strategies for forest restoration of American chestnut (Castanea dentata) using blight-resistant hybrids","Biological Conservation","137"," 4 ","497-506"
"66529","Anthony, K. R. N., Kleypas, J. A. and Gattuso, J. P.",2011,"Coral reefs modify their seawater carbon chemistry - implications for impacts of ocean acidification","Global Change Biology","17"," 12 ","3655-3666"
"69956","Gagic, V., Hanke, S., Thies, C., Scherber, C., Tomanovic, Z. and Tscharntke, T.",2012,"Agricultural intensification and cereal aphid-parasitoid-hyperparasitoid food webs: network complexity, temporal variability and parasitism rates","Oecologia","170"," 4 ","1099-1109"
"65700","Desrochers, R. E., Kerr, J. T. and Currie, D. J.",2011,"How, and how much, natural cover loss increases species richness","Global Ecology and Biogeography","20"," 6 ","857-867"
"55224","Martin, P. H., Canham, C. D. and Marks, P. L.",2009,"Why forests appear resistant to exotic plant invasions: intentional introductions, stand dynamics, and the role of shade tolerance","Frontiers in Ecology and the Environment","7"," 3 ","142-149"
"57491","Atwell, R. C., Schulte, L. A. and Westphal, L. M.",2009,"Landscape, community, countryside: linking biophysical and social scales in US Corn Belt agricultural landscapes","Landscape Ecology","24"," 6 ","791-806"
"39918","Josephson, P. R.",2005,"Ecological imperialism: The biological expansion of Europe, 900-1900","Ecological Economics","53","2","292-294"
"53805","Tisdell, C.",2009,"Biodiversity economics: Principles, methods and applications","Ecological Economics","69"," 1 ","207-208"
"40585","Evans, K. L. and Gaston, K. J.",2005,"People, energy and avian species richness","Global Ecology and Biogeography","14","2","187-196"
"55900","Hulse, D., Branscomb, A., Enright, C. and Bolte, J.",2009,"Anticipating floodplain trajectories: a comparison of two alternative futures approaches","Landscape Ecology","24"," 8 ","1067-1090"
"78893","",2007,"Fishy waters spawn more study","Frontiers in Ecology and the Environment"," 5 ","2","61-61"
