"","Author","Year","Title","Journal","Volume","Issue","Pages"
"61634","Borer, E. T., Seabloom, E. W., Mitchell, C. E. and Power, A. G.",2010,"Local context drives infection of grasses by vector-borne generalist viruses","Ecology Letters","13"," 7 ","810-818"
"61580","Brenneis, V. E. F., Sih, A. and de Rivera, C. E.",2010,"Coexistence in the intertidal: interactions between the nonindigenous New Zealand mud snail Potamopyrgus antipodarum and the native estuarine isopod Gnorimosphaeroma insulare","Oikos","119"," 11 ","1755-1764"
"77785","Katterer, T., Borjesson, G. and Kirchmann, H.",2014,"Changes in organic carbon in topsoil and subsoil and microbial community composition caused by repeated additions of organic amendments and N fertilisation in a long-term field experiment in Sweden","Agriculture Ecosystems & Environment","189"," ","110-118"
"37531","Brockhurst, M. A., Rainey, P. B. and Buckling, A.",2004,"The effect of spatial heterogeneity and parasites on the evolution of host diversity","Proceedings of the Royal Society B-Biological Sciences","271","1534","107-111"
"74669","Guerbois, C., Dufour, A. B., Mtare, G. and Fritz, H.",2013,"Insights for Integrated Conservation from Attitudes of People toward Protected Areas Near Hwange National Park, Zimbabwe","Conservation Biology","27"," 4 ","844-855"
"56245","Gonzalez, P. D.",2009,"The empirical analysis of the determinants for environmental technological change: A research agenda","Ecological Economics","68"," 3 ","861-878"
"61979","Alonzo, S. H. and Pizzari, T.",2010,"Male Fecundity Stimulation: Conflict and Cooperation Within and Between the Sexes: Model Analyses and Coevolutionary Dynamics","American Naturalist","175"," 2 ","174-185"
"74687","Grismado, C. J. and Ramirez, M. J.",2013,"The New World Goblin Spiders of the New Genus Neotrops (Araneae: Oonopidae), Part 1","Bulletin of the American Museum of Natural History"," "," 383 ","1-149"
"41473","Adams, M. J., Hossack, B. R., Knapp, R. A., Corn, P. S., Diamond, S. A., Trenham, P. C. and Fagre, D. B.",2005,"Distribution patterns of lentic-breeding amphibians in relation to ultraviolet radiation exposure in western North America","Ecosystems","8","5","488-500"
"40354","Gillis, E. A., Hik, D. S., Boonstra, R., Karels, T. J. and Krebs, C. J.",2005,"Being high is better: effects of elevation and habitat on arctic ground squirrel demography","Oikos","108","2","231-240"
"60234","Ichii, K., Suzuki, T., Kato, T., Ito, A., Hajima, T., Ueyama, M., Sasai, T., Hirata, R., Saigusa, N., Ohtani, Y. and Takagi, K.",2010,"Multi-model analysis of terrestrial carbon cycles in Japan: limitations and implications of model calibration using eddy flux observations","Biogeosciences","7"," 7 ","2061-2080"
"55040","Miller, H. C., Moore, J. A., Nelson, N. J. and Daugherty, C. H.",2009,"Influence of major histocompatibility complex genotype on mating success in a free-ranging reptile population","Proceedings of the Royal Society B-Biological Sciences","276"," 1662 ","1695-1704"
"77561","Loreto, F., Bagnoli, F., Calfapietra, C., Cafasso, D., De Lillis, M., Filibeck, G., Fineschi, S., Guidolotti, G., Sramko, G., Tokolyi, J. and Ricotta, C.",2014,"Isoprenoid emission in hygrophyte and xerophyte European woody flora: ecological and evolutionary implications","Global Ecology and Biogeography","23"," 3 ","334-345"
"48064","Gomez-Diaz, E. and Gonzalez-Solis, J.",2007,"Geographic assignment of seabirds to their origin: Combining morphologic, genetic, and biogeochemical analyses","Ecological Applications","17"," 5 ","1484-1498"
"57257","Boerner, M. and Kruger, O.",2009,"Aggression and fitness differences between plumage morphs in the common buzzard (Buteo buteo)","Behavioral Ecology","20"," 1 ","180-185"
"76622","Wagner, M. R., Lundberg, D. S., Coleman-Derr, D., Tringe, S. G., Dangl, J. L. and Mitchell-Olds, T.",2014,"Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative","Ecology Letters","17"," 6 ","717-726"
"59888","Lantz, T. C., Gergel, S. E. and Kokelj, S. V.",2010,"Spatial Heterogeneity in the Shrub Tundra Ecotone in the Mackenzie Delta Region, Northwest Territories: Implications for Arctic Environmental Change","Ecosystems","13"," 2 ","194-204"
"69429","Hutchings, J. A., Myers, R. A., Garcia, V. B., Lucifora, L. O. and Kuparinen, A.",2012,"Life-history correlates of extinction risk and recovery potential","Ecological Applications","22"," 4 ","1061-1067"
"76562","Wielgoss, A., Tscharntke, T., Rumede, A., Fiala, B., Seidel, H., Shahabuddin, S. and Clough, Y.",2014,"Interaction complexity matters: disentangling services and disservices of ant communities driving yield in tropical agroecosystems","Proceedings of the Royal Society B-Biological Sciences","281"," 1775 ",""
"49599","Wale, E.",2008,"A study on financial opportunity costs of growing local varieties of sorghum in Ethiopia: Implications for on-farm conservation policy","Ecological Economics","64"," 3 ","603-610"
"62752","Stirling, I., McDonald, T. L., Richardson, E. S., Regehr, E. V. and Amstrup, S. C.",2011,"Polar bear population status in the northern Beaufort Sea, Canada, 1971-2006","Ecological Applications","21"," 3 ","859-876"
"50279","Ruth, M.",2008,"Towards a thermodynamic theory for ecological systems","Ecological Economics","64"," 3 ","675-676"
"62546","Tsou, M. W., Liu, J. T. and Hammitt, J. K.",2011,"Parental age difference, educationally assortative mating and offspring count: evidence from a contemporary population in Taiwan","Biology Letters","7"," 4 ","562-566"
"52307","Fero, O., Stephens, P. A., Barta, Z., McNamara, J. M. and Houston, A. I.",2008,"Optimal annual routines: New tools for conservation biology?","Ecological Applications","18"," 6 ","1563-1577"
"50117","Senior, K.",2008,"End in sight for plastic bags?","Frontiers in Ecology and the Environment","6"," 3 ","119-119"
"43675","Jonsson, M., Ranius, T., Ekvall, H., Bostedt, G., Dahlberg, A., Ehnstrom, B., Norden, B. and Stokland, J. N.",2006,"Cost-effectiveness of silvicultural measures to increase substrate availability for red-listed wood-living organisms in Norway spruce forests","Biological Conservation","127","4","443-462"
"57266","Blanco, E., Lozano, J. and Rey-Maquieira, J.",2009,"A dynamic approach to voluntary environmental contributions in tourism","Ecological Economics","69"," 1 ","104-114"
"35059","Soutar, A. R. and Fullard, J. H.",2004,"Nocturnal anti-predator adaptations in eared and earless Nearctic Lepidoptera","Behavioral Ecology","15","6","1016-1022"
"47244","Lira-Noriega, A., Soberon, J., Navarro-Siguenza, A. G., Nakazawa, Y. and Peterson, A. T.",2007,"Scale dependency of diversity components estimated from primary biodiversity data and distribution maps","Diversity and Distributions","13"," 2 ","185-195"
"39215","Nunn, C. L., Altizer, S. M., Sechrest, W. and Cunningham, A. A.",2005,"Latitudinal gradients of parasite species richness in primates","Diversity and Distributions","11","3","249-256"
