"","Author","Year","Title","Journal","Volume","Issue","Pages"
"38186","Van Overwalle, G.",2005,"Protecting and sharing biodiversity and traditional knowledge: Holder and user tools","Ecological Economics","53","4","585-607"
"57789","Work, T. T., Jacobs, J. M., Spence, J. R. and Volney, W. J.",2010,"High levels of green-tree retention are required to preserve ground beetle biodiversity in boreal mixedwood forests","Ecological Applications","20"," 3 ","741-751"
"55062","Michimae, H., Nishimura, K., Tamori, Y. and Wakahara, M.",2009,"Maternal effects on phenotypic plasticity in larvae of the salamander Hynobius retardatus","Oecologia","160"," 3 ","601-608"
"76325","Apodaca, J. J., Trexler, J. C., Jue, N. K., Schrader, M. and Travis, J.",2013,"Large-Scale Natural Disturbance Alters Genetic Population Structure of the Sailfin Molly, Poecilia latipinna","American Naturalist","181"," 2 ","254-263"
"55166","McClanahan, T. R., Weil, E. and Maina, J.",2009,"Strong relationship between coral bleaching and growth anomalies in massive Porites","Global Change Biology","15"," 7 ","1804-1816"
"77470","McCleery, R., Hostetler, J. A. and Oli, M. K.",2014,"Better off in the wild? Evaluating a captive breeding and release program for the recovery of an endangered rodent","Biological Conservation","169"," ","198-205"
"47097","Marsh, H., Dennis, A., Hines, H., Kutt, A., McDonald, K., Weber, E., Williams, S. and Winter, J.",2007,"Optimizing allocation of management resources for wildlife","Conservation Biology","21"," 2 ","387-399"
"74998","Fontana, V., Radtke, A., Fedrigotti, V. B., Tappeiner, U., Tasser, E., Zerbe, S. and Buchholz, T.",2013,"Comparing land-use alternatives: Using the ecosystem services concept to define a multi-criteria decision analysis","Ecological Economics","93"," ","128-136"
"46287","Rubenstein, D. R.",2007,"Female extrapair mate choice in a cooperative breeder: trading sex for help and increasing offspring heterozygosity","Proceedings of the Royal Society B-Biological Sciences","274"," 1620 ","1895-1903"
"50568","Pittel, K. and Rubbelke, D. T. G.",2008,"Climate policy and ancillary benefits: A survey and integration into the modelling of international negotiations on climate change","Ecological Economics","68"," 1-2 ","210-220"
"37604","Bohlen, P. J., Pelletier, D. M., Groffman, P. M., Fahey, T. J. and Fisk, M. C.",2004,"Influence of earthworm invasion on redistribution and retention of soil carbon and nitrogen in northern temperate forests","Ecosystems","7","1","13-27"
"75546","Colborne, S. F., Peres-Neto, P. R., Longstaffe, F. J. and Neff, B. D.",2013,"Effects of foraging and sexual selection on ecomorphology of a fish with alternative reproductive tactics","Behavioral Ecology","24"," 6 ","1339-1347"
"65983","Chapperon, C. and Seuront, L.",2011,"Behavioral thermoregulation in a tropical gastropod: links to climate change scenarios","Global Change Biology","17"," 4 ","1740-1749"
