"","Author","Year","Title","Journal","Volume","Issue","Pages"
"72706","Reynolds, A. M.",2013,"Beating the Odds in the Aerial Lottery: Passive Dispersers Select Conditions at Takeoff That Maximize Their Expected Fitness on Landing","American Naturalist","181"," 4 ","555-561"
"69966","Fujiwara, S. and Hutchinson, J. R.",2012,"Elbow joint adductor moment arm as an indicator of forelimb posture in extinct quadrupedal tetrapods","Proceedings of the Royal Society B-Biological Sciences","279"," 1738 ","2561-2570"
"50379","Rius, M., Pascual, M. and Turon, X.",2008,"Phylogeography of the widespread marine invader Microcosmus squamiger (Ascidiacea) reveals high genetic diversity of introduced populations and non-independent colonizations","Diversity and Distributions","14"," 5 ","818-828"
"52215","Franks, S. J., Pratt, P. D., Dray, F. A. and Simms, E. L.",2008,"Selection on herbivory resistance and growth rate in an invasive plant","American Naturalist","171"," 5 ","678-691"
"48430","Earnhart, D.",2007,"Effects of permitted effluent limits on environmental compliance levels","Ecological Economics","61"," 1 ","178-193"
"45415","Wong, M. Y. L., Buston, P. M., Munday, P. L. and Jones, G. P.",2007,"The threat of punishment enforces peaceful cooperation and stabilizes queues in a coral-reef fish","Proceedings of the Royal Society B-Biological Sciences","274","1613","1093-1099"
"61719","Bernal, V., Perez, S. I., Gonzalez, P. N. and Diniz-Filho, J. A. F.",2010,"Ecological and evolutionary factors in dental morphological diversification among modern human populations from southern South America","Proceedings of the Royal Society B-Biological Sciences","277"," 1684 ","1107-1112"
"66325","Bertrand, R., Gegout, J. C. and Bontemps, J. D.",2011,"Niches of temperate tree species converge towards nutrient-richer conditions over ontogeny","Oikos","120"," 10 ","1479-1488"
"36087","Maan, M. E., Seehausen, O., Soderberg, L., Johnson, L., Ripmeester, E. A. P., Mrosso, H. D. J., Taylor, M. I., van Dooren, T. J. M. and van Alphen, J. J. M.",2004,"Intraspecific sexual selection on a speciation trait, male coloration, in the Lake Victoria cichlid Pundamilia nyererei","Proceedings of the Royal Society B-Biological Sciences","271","1556","2445-2452"
"61227","Craigie, I. D., Baillie, J. E. M., Balmford, A., Carbone, C., Collen, B., Green, R. E. and Hutton, J. M.",2010,"Large mammal population declines in Africa's protected areas","Biological Conservation","143"," 9 ","2221-2228"
"53027","Blanchong, J. A., Samuel, M. D., Scribner, K. T., Weckworth, B. V., Langenberg, J. A. and Filcek, K. B.",2008,"Landscape genetics and the spatial distribution of chronic wasting disease","Biology Letters","4"," 1 ","130-133"
"36361","King, J. M. and Heinen, J. T.",2004,"An assessment of the behaviors of overwintering manatees as influenced by interactions with tourists at two sites in central Florida","Biological Conservation","117","3","227-234"
"65640","Downey, M. H. and Nice, C. C.",2011,"Experimental evidence of host race formation in Mitoura butterflies (Lepidoptera: Lycaenidae)","Oikos","120"," 8 ","1165-1174"
"56758","de Bruijn, A. M. G., Butterbach-Bahl, K., Blagodatsky, S. and Grote, R.",2009,"Model evaluation of different mechanisms driving freeze-thaw N2O emissions","Agriculture Ecosystems & Environment","133"," 3-4 ","196-207"
"39502","Marzal, A., de Lope, F., Navarro, C. and Moller, A. P.",2005,"Malarial parasites decrease reproductive success: an experimental study in a passerine bird","Oecologia","142","4","541-545"
"47140","Mahecha, M. D., Reichstein, M., Lange, H., Carvalhais, N., Bernhofer, C., Grunwald, T., Papale, D. and Seufert, G.",2007,"Characterizing ecosystem-atmosphere interactions from short to interannual time scales","Biogeosciences","4"," 5 ","743-758"
