"","Author","Year","Title","Journal","Volume","Issue","Pages"
"44389","Engelhardt, K. A. M.",2006,"Relating effect and response traits in submersed aquatic macrophytes","Ecological Applications","16","5","1808-1820"
"77256","Ord, T. J. and Klomp, D. A.",2014,"Habitat partitioning and morphological differentiation: the Southeast Asian Draco lizards and Caribbean Anolis lizards compared","Oecologia","175"," 2 ","651-666"
"51400","Kulmala, S., Laukkanen, M. and Michielsens, C.",2008,"Reconciling economic and biological modeling of migratory fish stocks: Optimal management of the Atlantic salmon fishery in the Baltic Sea","Ecological Economics","64"," 4 ","716-728"
"60879","Fassler, E., Robinson, B. H., Stauffer, W., Gupta, S. K., Papritz, A. and Schulin, R.",2010,"Phytomanagement of metal-contaminated agricultural land using sunflower, maize and tobacco","Agriculture Ecosystems & Environment","136"," 1-2 ","49-58"
"72593","Rowland, L., Stahl, C., Bonal, D., Siebicke, L., Williams, M. and Meir, P.",2013,"The Response of Tropical Rainforest Dead Wood Respiration to Seasonal Drought","Ecosystems","16"," 7 ","1294-1309"
"44868","Burton, A.",2006,"Life under the ice","Frontiers in Ecology and the Environment","4","3","116-116"
"44635","Cusso, X., Garrabou, R. and Tello, E.",2006,"Social metabolism in an agrarian region of Catalonia (Spain) in 1860-1870: Flows, energy balance and land use","Ecological Economics","58","1","49-65"
"37980","Wong, B. B. M., Fisher, H. S. and Rosenthal, G. G.",2005,"Species recognition by male swordtails via chemical cues","Behavioral Ecology","16","4","818-822"
"76828","Soper, D. M., King, K. C., Vergara, D. and Lively, C. M.",2014,"Exposure to parasites increases promiscuity in a freshwater snail","Biology Letters","10"," 4 ",""
"74309","Iraeta, P., Salvador, A. and Diaz, J. A.",2013,"Life-history traits of two Mediterranean lizard populations: a possible example of countergradient covariation","Oecologia","172"," 1 ","167-176"
"59225","Noel, S. and Lapointe, F. J.",2010,"Urban conservation genetics: Study of a terrestrial salamander in the city","Biological Conservation","143"," 11 ","2823-2831"
"71135","Banin, L., Feldpausch, T. R., Phillips, O. L., Baker, T. R., Lloyd, J., Affum-Baffoe, K., Arets, E. J. M. M., Berry, N. J., Bradford, M., Brienen, R. J. W., Davies, S., Drescher, M., Higuchi, N., Hilbert, D. W., Hladik, A., Iida, Y., Abu Salim, K., Kassim, A. R., King, D. A., Lopez-Gonzalez, G., Metcalfe, D., Nilus, R., Peh, K. S. H., Reitsma, J. M., Sonke, B., Taedoumg, H., Tan, S., White, L., Woll, H. and Lewis, S. L.",2012,"What controls tropical forest architecture? Testing environmental, structural and floristic drivers","Global Ecology and Biogeography","21"," 12 ","1179-1190"
"48565","de Groot, M., Kleijn, D. and Jogan, N.",2007,"Species groups occupying different trophic levels respond differently to the invasion of semi-natural vegetation by Solidago canadensis","Biological Conservation","136"," 4 ","612-617"
"71150","Baiser, B., Gotelli, N. J., Buckley, H. L., Miller, T. E. and Ellison, A. M.",2012,"Geographic variation in network structure of a nearctic aquatic food web","Global Ecology and Biogeography","21"," 5 ","579-591"
"51802","Hodge, S. and Powell, G.",2008,"Complex interactions between a plant pathogen and insect parasitoid via the shared vector-host: consequences for host plant infection","Oecologia","157"," 3 ","387-397"
"76722","Tizo-Pedroso, E. and Del-Claro, K.",2014,"Social parasitism: emergence of the cuckoo strategy between pseudoscorpions","Behavioral Ecology","25"," 2 ","335-343"
"54130","Senior, K.",2009,"EU cell phone chargers to be harmonized","Frontiers in Ecology and the Environment","7"," 6 ","291-291"
"48179","Gabriel, D. and Tscharntke, T.",2007,"Insect pollinated plants benefit from organic farming","Agriculture Ecosystems & Environment","118"," 1-4 ","43-48"
"73972","Kwan, L., Cheng, Y. Y., Rodd, F. H. and Rowe, L.",2013,"Sexual conflict and the function of genitalic claws in guppies (Poecilia reticulata)","Biology Letters","9"," 5 ",""
"52626","Cousens, R., Wiegand, T. and Taghizadeh, M.",2008,"Small-scale spatial structure within patterns of seed dispersal","Oecologia","158"," 3 ","437-448"
"41637","Wilbur, H. M. and Rudolf, V. H. W.",2006,"Life-history evolution in uncertain environments: Bet hedging in time","American Naturalist","168","3","398-411"
"69885","Gervasi, V., Ciucci, P., Boulanger, J., Randi, E. and Boitani, L.",2012,"A multiple data source approach to improve abundance estimates of small populations: The brown bear in the Apennines, Italy","Biological Conservation","152"," ","10-20"
"42517","Reid, J. M., Arcese, P., Keller, L. F. and Hasselquist, D.",2006,"Long-term maternal effect on offspring immune response in song sparrows Melospiza melodia","Biology Letters","2","4","573-576"
"63479","Pearman, P. B., Guisan, A. and Zimmermann, N. E.",2011,"Impacts of climate change on Swiss biodiversity: An indicator taxa approach","Biological Conservation","144"," 2 ","866-875"
"58771","Robertson, T. R., Zak, J. C. and Tissue, D. T.",2010,"Precipitation magnitude and timing differentially affect species richness and plant density in the sotol grassland of the Chihuahuan Desert","Oecologia","162"," 1 ","185-197"
"57586","Alsfeld, A. J., Bowman, J. L. and Deller-Jacobs, A.",2009,"Effects of woody debris, microtopography, and organic matter amendments on the biotic community of constructed depressional wetlands","Biological Conservation","142"," 2 ","247-255"
"60850","Ferguson, A. J. P. and Eyre, B. D.",2010,"Carbon and Nitrogen Cycling in a Shallow Productive Sub-Tropical Coastal Embayment (Western Moreton Bay, Australia): The Importance of Pelagic-Benthic Coupling","Ecosystems","13"," 7 ","1127-1144"
"54862","New, L. F., Matthiopoulos, J., Redpath, S. and Buckland, S. T.",2009,"Fitting Models of Multiple Hypotheses to Partial Population Data: Investigating the Causes of Cycles in Red Grouse","American Naturalist","174"," 3 ","399-412"
"63799","Morrell, L. J., Ruxton, G. D. and James, R.",2011,"Spatial positioning in the selfish herd","Behavioral Ecology","22"," 1 ","16-22"
"59058","Peltzer, D. A., Wardle, D. A., Allison, V. J., Baisden, W. T., Bardgett, R. D., Chadwick, O. A., Condron, L. M., Parfitt, R. L., Porder, S., Richardson, S. J., Turner, B. L., Vitousek, P. M., Walker, J. and Walker, L. R.",2010,"Understanding ecosystem retrogression","Ecological Monographs","80"," 4 ","509-529"
"74118","Kerimoglu, O., Straile, D. and Peeters, F.",2013,"Seasonal, inter-annual and long term variation in top-down versus bottom-up regulation of primary production","Oikos","122"," 2 ","223-234"
"64465","Knapp, P. A. and Soule, P. T.",2011,"Increasing water-use efficiency and age-specific growth responses of old-growth ponderosa pine trees in the Northern Rockies","Global Change Biology","17"," 1 ","631-641"
"35235","Santiago, L. S., Kitajima, K., Wright, S. J. and Mulkey, S. S.",2004,"Coordinated changes in photosynthesis, water relations and leaf nutritional traits of canopy trees along a precipitation gradient in lowland tropical forest","Oecologia","139","4","495-502"
"46695","Orr, D. W.",2007,"One hundred days of climate action","Conservation Biology","21"," 4 ","907-911"
"41883","Tuya, F., Sanchez-Jerez, P. and Haroun, R. J.",2006,"Populations of inshore serranids across the Canarian Archipelago: Relationships with human pressure and implications for conservation","Biological Conservation","128","1","13-24"
"39233","Noe, G. B. and Hupp, C. R.",2005,"Carbon, nitrogen, and phosphorus accumulation in floodplains of Atlantic Coastal Plain rivers, USA","Ecological Applications","15","4","1178-1190"
"40779","Death, R. G. and Zimmermann, E. M.",2005,"Interaction between disturbance and primary productivity in determining stream invertebrate diversity","Oikos","111","2","392-402"
"62415","Vila, R., Bell, C. D., Macniven, R., Goldman-Huertas, B., Ree, R. H., Marshall, C. R., Balint, Z., Johnson, K., Benyamini, D. and Pierce, N. E.",2011,"Phylogeny and palaeoecology of Polyommatus blue butterflies show Beringia was a climate-regulated gateway to the New World","Proceedings of the Royal Society B-Biological Sciences","278"," 1719 ","2737-2744"
"66760","Wunderlich, S. and Borken, A.",2012,"Partitioning of soil CO2 efflux in un-manipulated and experimentally flooded plots of a temperate fen","Biogeosciences","9"," 8 ","3477-3489"
"47081","Martinez, M. L., Intralawan, A., Vazquez, G., Perez-Maqueo, O., Sutton, P. and Landgrave, R.",2007,"The coasts of our world: Ecological, economic and social importance","Ecological Economics","63"," 2-3 ","254-272"
"62266","Westheimer, G.",2011,"Three-dimensional displays and stereo vision","Proceedings of the Royal Society B-Biological Sciences","278"," 1716 ","2241-2248"
"69559","Hillier, J., Brentrup, F., Wattenbach, M., Walter, C., Garcia-Suarez, T., Mila-I-Canals, L. and Smith, P.",2012,"Which cropland greenhouse gas mitigation options give the greatest benefits in different world regions? Climate and soil-specific predictions from integrated empirical models","Global Change Biology","18"," 6 ","1880-1894"
"46472","Quaas, M. F., Baumgartner, S., Becker, C., Frank, K. and Muller, B.",2007,"Uncertainty and sustainability in the management of rangelands","Ecological Economics","62"," 2 ","251-266"
"45146","Bateman, I. J., Day, B. H., Georgiou, S. and Lake, I.",2006,"The aggregation of environmental benefit values: Welfare measures, distance decay and total WTP","Ecological Economics","60","2","450-460"
"75344","Deel, L.",2013,"Ecological solutions to mine water pollution","Frontiers in Ecology and the Environment","11"," 2 ","60-60"
"51912","Harewood, A. and Horrocks, J.",2008,"Impacts of coastal development on hawksbill hatchling survival and swimming success during the initial offshore migration","Biological Conservation","141"," 2 ","394-401"
"66008","Castro-Diez, P., Godoy, O., Saldana, A. and Richardson, D. M.",2011,"Predicting invasiveness of Australian acacias on the basis of their native climatic affinities, life history traits and human use","Diversity and Distributions","17"," 5 ","934-945"
"61707","Bhatia, A., Sasmal, S., Jain, N., Pathak, H., Kumar, R. and Singh, A.",2010,"Mitigating nitrous oxide emission from soil under conventional and no-tillage in wheat using nitrification inhibitors","Agriculture Ecosystems & Environment","136"," 3-4 ","247-253"
"59472","Meek, C. S., Richardson, D. M. and Mucina, L.",2010,"A river runs through it: Land-use and the composition of vegetation along a riparian corridor in the Cape Floristic Region, South Africa","Biological Conservation","143"," 1 ","156-164"
"38446","Spring, D. A. and Kennedy, J. O. S.",2005,"Existence value and optimal timber-wildlife management in a flammable multistand forest","Ecological Economics","55","3","365-379"
"69144","Koch, B. P. and Kattner, G.",2012,"Preface 'Sources and rapid biogeochemical transformation of dissolved organic matter in the Atlantic surface ocean'","Biogeosciences","9"," 7 ","2597-2602"
