"","Author","Year","Title","Journal","Volume","Issue","Pages"
"35923","Middelboe, A. L. and Binzer, T.",2004,"Importance of canopy structure on photosynthesis in single- and multi-species assemblages of marine macroalgae","Oikos","107","2","422-432"
"57483","Avila-Foucat, V. S., Perrings, C. and Raffaelli, D.",2009,"An ecological-economic model for catchment management: The case of Tonameca, Oaxaca, Mexico","Ecological Economics","68"," 8-9 ","2224-2231"
"41677","Werger, M. J. A. and Huber, H.",2006,"Tuber size variation and organ preformation constrain growth responses of a spring geophyte","Oecologia","147","3","396-405"
"75001","Fly, E. K. and Hilbish, T. J.",2013,"Physiological energetics and biogeographic range limits of three congeneric mussel species","Oecologia","172"," 1 ","35-46"
"43779","Hugueny, B.",2006,"Spatial synchrony in population fluctuations: extending the Moran theorem to cope with spatially heterogeneous dynamics","Oikos","115","1","Mar-14"
"45132","Baxter, P. W. J., McCarthy, M. A., Possingham, H. P., Menkhorst, P. W. and McLean, N.",2006,"Accounting for management costs in sensitivity analyses of matrix population models","Conservation Biology","20","3","893-905"
"59664","Ma, W. H., He, J. S., Yang, Y. H., Wang, X. P., Liang, C. Z., Anwar, M., Zeng, H., Fang, J. Y. and Schmid, B.",2010,"Environmental factors covary with plant diversity-productivity relationships among Chinese grassland sites","Global Ecology and Biogeography","19"," 2 ","233-243"
"70288","Djupstrom, L. B., Weslien, J., ten Hoopen, J. and Schroeder, L. M.",2012,"Restoration of habitats for a threatened saproxylic beetle species in a boreal landscape by retaining dead wood on clear-cuts","Biological Conservation","155"," ","44-49"
"64744","Ibarra-Macias, A., Robinson, W. D. and Gaines, M. S.",2011,"Experimental evaluation of bird movements in a fragmented Neotropical landscape","Biological Conservation","144"," 2 ","703-712"
"72532","Sajeva, M., Augugliaro, C., Smith, M. J. and Oddo, E.",2013,"Regulating Internet Trade in CITES Species","Conservation Biology","27"," 2 ","429-430"
"42086","Spyreas, G. and Matthews, J. W.",2006,"Floristic conservation value, nested understory floras, and the development of second-growth forest","Ecological Applications","16","4","1351-1366"
"54329","Ross, M. S., Ruiz, P. L., Sah, J. P. and Hanan, E. J.",2009,"Chilling damage in a changing climate in coastal landscapes of the subtropical zone: a case study from south Florida","Global Change Biology","15"," 7 ","1817-1832"
"58411","Smith, P., Jones, M., Osborne, B. and Wattenbach, M.",2010,"The carbon and greenhouse gas budget of European croplands","Agriculture Ecosystems & Environment","139"," 3 ","V-Vi"
"73087","Ordiz, A., Bischof, R. and Swenson, J. E.",2013,"Saving large carnivores, but losing the apex predator?","Biological Conservation","168"," ","128-133"
"70116","Eycott, A. E., Stewart, G. B., Buyung-Ali, L. M., Bowler, D. E., Watts, K. and Pullin, A. S.",2012,"A meta-analysis on the impact of different matrix structures on species movement rates","Landscape Ecology","27"," 9 ","1263-1278"
"73336","Molto, Q., Rossi, V. and Blanc, L.",2013,"Error propagation in biomass estimation in tropical forests","Methods in Ecology and Evolution","4"," 2 ","175-183"
"41304","Battisti, A., Stastny, M., Netherer, S., Robinet, C., Schopf, A., Roques, A. and Larsson, S.",2005,"Expansion of geographic range in the pine processionary moth caused by increased winter temperatures","Ecological Applications","15","6","2084-2096"
"70241","Dubman, E., Collard, M. and Mooers, A. O.",2012,"Evidence that gestation duration and lactation duration are coupled traits in primates","Biology Letters","8"," 6 ","998-1001"
"38227","Urama, K. C.",2005,"Hooked on growth: Economic addictions and the environment","Ecological Economics","55","3","445-448"
"70828","Breecker, D. O., McFadden, L. D., Sharp, Z. D., Martinez, M. and Litvak, M. E.",2012,"Deep Autotrophic Soil Respiration in Shrubland and Woodland Ecosystems in Central New Mexico","Ecosystems","15"," 1 ","83-96"
"78902","",2005,"Mexico addresses desertification","Frontiers in Ecology and the Environment"," 3 ","5","240-240"
"46507","Prairie, Y. T. and Duarte, C. M.",2007,"Direct and indirect metabolic CO2 release by humanity","Biogeosciences","4"," 2 ","215-217"
