"","Author","Year","Title","Journal","Volume","Issue","Pages"
"22315","Petranka, J. W.",1999,"Recovery of salamanders after clearcutting in the southern Appalachians: A critique of Ash's estimates","Conservation Biology","13","1","203-205"
"66538","Andrew, M. E., Wulder, M. A. and Coops, N. C.",2011,"Patterns of protection and threats along productivity gradients in Canada","Biological Conservation","144"," 12 ","2891-2901"
"5473","Kort, J.",1988,"Benefits of Windbreaks to Field and Forage Crops","Agriculture Ecosystems & Environment"," 22-3 "," ","165-190"
"15701","Yu, D. W.",1996,"New factor in free trade: Reply","Conservation Biology","10","1","303-304"
"48197","Friis, K., Najjar, R. G., Follows, M. J., Dutkiewicz, S., Kortzinger, A. and Johnson, K. M.",2007,"Dissolution of calcium carbonate: observations and model results in the subpolar North Atlantic","Biogeosciences","4"," 2 ","205-213"
"51546","Kaufmann, R. K. and Shiers, L. D.",2008,"Alternatives to conventional crude oil: When, how quickly, and market driven?","Ecological Economics","67"," 3 ","405-411"
"35441","Rankin, S. M.",2004,"Investing in the future - Guest editorial","Frontiers in Ecology and the Environment","2","3","115-115"
"60305","Hood, G. R. and Ott, J. R.",2010,"Developmental plasticity and reduced susceptibility to natural enemies following host plant defoliation in a specialized herbivore","Oecologia","162"," 3 ","673-683"
"62816","Soliz, D., Glenn, E. P., Seaman, R., Yoklic, M., Nelson, S. G. and Brown, P.",2011,"Water consumption, irrigation efficiency and nutritional value of Atriplex lentiformis grown on reverse osmosis brine in a desert irrigation district","Agriculture Ecosystems & Environment","140"," 3-4 ","473-483"
"33794","Ellis, C. J., Crittenden, P. D., Scrimgeour, C. M. and Ashcroft, C.",2003,"The natural abundance of N-15 in mat-forming lichens","Oecologia","136","1","115-123"
"53859","Tavecchia, G., Viedma, C., Martinez-Abrain, A., Bartolome, M. A., Gomez, J. A. and Oro, D.",2009,"Maximizing re-introduction success: Assessing the immediate cost of release in a threatened waterfowl","Biological Conservation","142"," 12 ","3005-3012"
"4785","Dobson, F. S.",1987,"Correction","American Naturalist","129","6","941-941"
"44342","Fang, J., Wang, Z. H., Zhao, S. Q., Li, Y. K., Tang, Z. Y., Yu, D., Ni, L. Y., Liu, H. Z., Xie, P., Da, L. J., Li, Z. Q. and Zheng, C. Y.",2006,"Biodiversity changes in the lakes of the Central Yangtze","Frontiers in Ecology and the Environment","4","7","369-377"
"19406","Azevedo, R. B. R., French, V. and Partridge, L.",1997,"Life-history consequences of egg size in Drosophila melanogaster","American Naturalist","150","2","250-282"
"56536","Fagan, W. F., Cantrell, R. S., Cosner, C. and Ramakrishnan, S.",2009,"Interspecific Variation in Critical Patch Size and Gap-Crossing Ability as Determinants of Geographic Range Size Distributions","American Naturalist","173"," 3 ","363-375"
"13758","Brust, G. E.",1994,"Seed-Predators Reduce Broadleaf Weed Growth and Competitive Ability","Agriculture Ecosystems & Environment","48","1","27-34"
"16915","Hanley, M. E., Fenner, M. and Edwards, P. J.",1996,"The effect of mollusc: Grazing on seedling recruitment in artificially created grassland gaps","Oecologia","106","2","240-246"
