,,,,,,,m^2,n,ha,days,days,days,days,,,,,,,,,,,
,journal,DOI/title,study_year,study_type,country_region,subject_matter,plot_res,n_sites,sampled_area,samp_duration,t_btwn_samp,study_duration,study_span,composition,structure,function,tax_breadth,DOI_data_source,sensitivity,notes,exclusion reason,,,
1,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,0.36,28,0.001008,0.013888889,17.5,0.361904762,1095,0,0,2,0,,,methane samples and greenness,,,,
1,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,0.007853982,28,2.20E-05,0.013888889,17.5,0.361904762,1095,0,0,1,0,,plot_res,water samples,,,,
1,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,7.85E-05,28,2.20E-07,0.013888889,17.5,0.361904762,1095,0,0,1,0,,plot_res,temp samples,,,,
1,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,7.85E-05,6,4.71E-08,1.16E-05,0.020833333,0.253333333,1095,0,0,0,0,,t_btwn_samp,air and soil temp measurements,,,,
1,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,0.007853982,220,0.000172788,28,182.5,84,1095,3,0,1,2,,tax_breadth,"soil samples for CH4 production, as well as DNA samples of archaea",,,,
2,Proc Royal B,http://dx.doi.org/10.1098/rspb.2013.1016,2014,other geographic data,US (Alaska),bird circadian rythyms,0.002827433,39,1.10E-05,5.79E-05,0.000694444,88,408,2,0,2,1,,"samp_duration, t_btwn_samples, n_sites",circadian rythym observations. N_sites uncertain because probably about half of birds were tagged in each season (probably no repeats),,,,
2,Proc Royal B,http://dx.doi.org/10.1098/rspb.2013.1016,2014,other geographic data,US (Alaska),bird circadian rythyms,0.002827433,108,3.05E-05,0.000694444,0,1,1,0,0,1,1,,samp_duration,"blood sample, assume 1 minute",,,,
3,Oecologia,DOI:10.1007/s00442-004-1742-9,2005,field_direct observation,Australia (Northern Territory),python parasite loading,0.4,329,0.01316,0.5,0,0.5,730,0,0,2,0,,plot_res; t_btwn_samp; study_duration,"Full sample of pythons, where measurements were for single date",,,,
3,Oecologia,DOI:10.1007/s00442-004-1742-9,2005,field_direct observation,Australia (Northern Territory),python parasite loading,0.4,36,0.00144,0.5,365,1,730,0,0,2,0,,plot_res; t_btwn_samp; study_duration,Recaptured sample between 2001 and 2002,,,,
