,Author,Year,Title,Journal,Volume,Issue,Pages
67643,"Scerri, A.",2012,"Ends in view: The capabilities approach in ecological/sustainability economics (vol 77, pg 7, 2012)",Ecological Economics,82, ,139-139
65591,"Dziock, F., Gerisch, M., Siegert, M., Hering, I., Scholz, M. and Ernst, R.",2011,Reproducing or dispersing? Using trait based habitat templet models to analyse Orthoptera response to flooding and land use,Agriculture Ecosystems & Environment,145,1,85-94
53324,"Ackerman, F. and Stanton, E. A.",2008,"A comment on ""Economy-wide estimates of the implications of climate change: Human health""",Ecological Economics,66,1,Aug-13
73343,"Molinari, C., Lehsten, V., Bradshaw, R. H. W., Power, M. J., Harmand, P., Arneth, A., Kaplan, J. O., Vanniere, B. and Sykes, M. T.",2013,Exploring potential drivers of European biomass burning over the Holocene: a data-model analysis,Global Ecology and Biogeography,22,12,1248-1260
77947,"Hejcman, M., Sochorova, L., Pavlu, V., Strobach, J., Diepolder, M. and Schellberg, J.",2014,"The Steinach Grassland Experiment: Soil chemical properties, sward height and plant species composition in three cut alluvial meadow after decades-long fertilizer application",Agriculture Ecosystems & Environment,184, ,76-87
69956,"Gagic, V., Hanke, S., Thies, C., Scherber, C., Tomanovic, Z. and Tscharntke, T.",2012,"Agricultural intensification and cereal aphid-parasitoid-hyperparasitoid food webs: network complexity, temporal variability and parasitism rates",Oecologia,170,4,1099-1109
42195,"Shears, N. T., Grace, R. V., Usmar, N. R., Kerr, V. and Babcock, R. C.",2006,Long-term trends in lobster populations in a partially protected vs. no-take Marine Park,Biological Conservation,132,2,222-231
37163,"Dennehy, J. J. and Turner, P. E.",2004,Reduced fecundity is the cost of cheating in RNA virus phi 6,Proceedings of the Royal Society B-Biological Sciences,271,1554,2275-2282
46283,"Rubolini, D., Martinelli, R., von Engelhardt, N., Romano, M., Groothuis, T. G. G., Fasola, M. and Saino, N.",2007,Consequences of prenatal androgen exposure for the reproductive performance of female pheasants (Phasianus colchicus),Proceedings of the Royal Society B-Biological Sciences,274,1606,137-142
73414,"Melvin, A. M., Lichstein, J. W. and Goodale, C. L.",2013,Forest liming increases forest floor carbon and nitrogen stocks in a mixed hardwood forest,Ecological Applications,23,8,1962-1975
49339,"Adkins-Regan, E. and Tomaszycki, M.",2007,Monogamy on the fast track,Biology Letters,3,6,617-619
51353,"Lankinen, A.",2008,Root competition influences pollen competitive ability in Viola tricolor: effects of presence of a competitor beyond resource availability?,Journal of Ecology,96,4,756-765
70470,"Cromsigt, J. P. G. M., Kerley, G. I. H. and Kowalczyk, R.",2012,The difficulty of using species distribution modelling for the conservation of refugee species - the example of European bison,Diversity and Distributions,18,12,1253-1257
46466,"Quetier, F., Lavorel, S., Thuiller, W. and Davies, I.",2007,Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change,Ecological Applications,17,8,2377-2386
66607,"Ah-King, M.",2011,Female sexual selection in light of the Darwin-Bateman paradigm,Behavioral Ecology,22,6,1142-1143
57474,"Azeria, E. T., Fortin, D., Lemaitre, J., Janssen, P., Hebert, C., Darveau, M. and Cumming, S. G.",2009,Fine-scale structure and cross-taxon congruence of bird and beetle assemblages in an old-growth boreal forest mosaic,Global Ecology and Biogeography,18,3,333-345
44111,"Gonzalez-Gomez, P. L., Estades, C. F. and Simonetti, J. A.",2006,Strengthened insectivory in a temperate fragmented forest,Oecologia,148,1,137-143
36689,"Hansen, B. T. and Slagsvold, T.",2004,Early learning affects social dominance: interspecifically cross-fostered tits become subdominant,Behavioral Ecology,15,2,262-268
59234,"Nilsen, E. B., Broseth, H., Odden, J. and Linnell, J. D. C.",2010,The cost of maturing early in a solitary carnivore,Oecologia,164,4,943-948
74675,"Gruner, D. S. and Mooney, K. A.",2013,Green grass and high tides: grazing lawns in terrestrial and aquatic ecosystems (commentary on Burkepile 2013),Oikos,122,2,313-316
