observer,journal,DOI/title,study_year,study_type,country_region,subject_matter,plot_res,n_sites,sampled_area,samp_duration,t_btwn_samp,study_duration,study_span,composition,structure,function,tax_breadth,DOI_data_source,sensitivity,notes,exclusion reason,,,,,,,,,
Estes,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,0.3600000,28,0.001008,0.013888889,17.5,0.361904762,1095,0,0,2,0,,,methane samples and greenness,,,,,,,,,,
Estes,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,0.0078540,28,2.19911E-05,0.013888889,17.5,0.361904762,1095,0,0,1,0,,plot_res,water samples,,,,,,,,,,
Estes,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,0.0000785,28,2.19911E-07,0.013888889,17.5,0.361904762,1095,0,0,1,0,,plot_res,temp samples,,,,,,,,,,
Estes,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,0.0000785,6,4.71239E-08,1.15741E-05,0.020833333,0.253333333,1095,0,0,0,0,,t_btwn_samp,air and soil temp measurements,,,,,,,,,,
Estes,Ecosystems,DOI: 10.1007/s10021-013-9637-4,2013,field_direct observation,Czech Republic,methane emissions from bogs,0.0078540,220,0.000172788,28,182.5,84,1095,3,0,1,2,,tax_breadth,"soil samples for CH4 production, as well as DNA samples of archaea",,,,,,,,,,
Estes,Proc Royal B,http://dx.doi.org/10.1098/rspb.2013.1016,2014,other geographic data,US (Alaska),bird circadian rythyms,0.0028274,39,1.1027E-05,5.78704E-05,0.000694444,88,408,2,0,2,1,,"samp_duration, t_btwn_samples, n_sites",circadian rythym observations. N_sites uncertain because probably about half of birds were tagged in each season (probably no repeats),,,,,,,,,,
Estes,Proc Royal B,http://dx.doi.org/10.1098/rspb.2013.1016,2014,other geographic data,US (Alaska),bird circadian rythyms,0.0028274,108,3.05363E-05,0.000694444,0,1,1,0,0,1,1,,samp_duration,"blood sample, assume 1 minute",,,,,,,,,,
Estes,Oecologia,DOI:10.1007/s00442-004-1742-9,2005,field_direct observation,Australia (Northern Territory),python parasite loading,0.4000000,329,0.01316,0.5,0,0.5,730,0,0,2,0,,plot_res; t_btwn_samp; study_duration,"Full sample of pythons, where measurements were for single date",,,,,,,,,,
Estes,Oecologia,DOI:10.1007/s00442-004-1742-9,2005,field_direct observation,Australia (Northern Territory),python parasite loading,0.4000000,36,0.00144,0.5,365,1,730,0,0,2,0,,plot_res; t_btwn_samp; study_duration,Recaptured sample between 2001 and 2002,,,,,,,,,,
Estes,Oecologia,DOI:10.1007/s00442-004-1742-9,2005,field_direct observation,Australia (Northern Territory),python parasite loading,0.4000000,15,0.0006,0.5,15,1,730,0,0,2,0,,plot_res; t_btwn_samp; study_duration,Recaptured sample within a month,,,,,,,,,,
Estes,Biol Cons,doi:10.1016/j.biocon.2007.12.021,2008,field_direct observation,Panama,spatial patterns of hunting,0.1000000,1269,0.01269,1,0,1,232,2,0,1,2,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp,"I made the hunted animals the sample units, rather than the hunting households themselves. I could also have recorded hunting area extent, which was 131 km2",,,,,,,,,,
Estes,Advances in Ecological Research,DOI: 10.1016/S0065-2504(07)00009-8,2008,field_direct observation,Greenland,hydrology and sediment transport,0.1963495,1,1.9635E-05,4015,0,4015,4015,0,0,2,0,DOI: 10.1016/S0065-2504(07)00006-2,study_duration,"rain gauge information, and presumably inputs to models, soil moisture, etc,",,,,,,,,,,
Estes,Advances in Ecological Research,DOI: 10.1016/S0065-2504(07)00009-8,2008,field_direct observation,Greenland,hydrology and sediment transport,512000000.0000000,1,51200,1.15741E-05,0.010416667,4.461111111,4015,0,0,1,0,,samp_duration; study_duration,discharge measurements,,,,,,,,,,
Estes,Advances in Ecological Research,DOI: 10.1016/S0065-2504(07)00009-8,2008,field_direct observation,Greenland,hydrology and sediment transport,0.0019635,1,1.9635E-07,1.15741E-05,1,0.046469907,4015,0,0,2,0,,res; study_duration,"sediment measurements, assume also attachs to water chemistry",,,,,,,,,,
Estes,Jecology,doi: 10.1111/j.1365-2745.2009.01550.x2009,2009,field_direct observation,US (CA ; OR),pathogen prevalence and host fecundity in grasses,0.0400000,28,0.000112,0.000694444,0,0.000694444,31,1,1,1,1,,plot_res; n_sites,Fecundity and pathogen loading samples,,,,,,,,,,
Estes,Jecology,doi: 10.1111/j.1365-2745.2009.01550.x2009,2009,field_direct observation,US (CA ; OR),pathogen prevalence and host fecundity in grasses,10.0000000,36,0.036,0.083333333,0,0.083333333,31,1,1,0,1,,samp_duration; study_duration,"Biomass clippings - it is something to consider whether we should assume these measures reflect time to sample, or should they instead represent the time signficance to each thing being sampled (for a clipped piece of grass, it represents biomass at that instant, not over two hours of growth)",,,,,,,,,,
Estes,Jecology,doi: 10.1111/j.1365-2745.2009.01550.x2009,2009,field_direct observation,US (CA ; OR),pathogen prevalence and host fecundity in grasses,0.5000000,36,0.0018,0.003472222,0,0.003472222,31,1,1,0,1,,samp_duration; study_duration,Areal cover of grass,,,,,,,,,,
Estes,Jecology,doi: 10.1111/j.1365-2745.2009.01550.x2009,2009,field_direct observation,US (CA ; OR),pathogen prevalence and host fecundity in grasses,0.0078540,54,4.24115E-05,0.006944444,0,0.006944444,31,0,0,2,0,,samp_duration; study_duration,soil cores of texture and nutrient status,,,,,,,,,,
Estes,EcolAppl,Narrowing the agronomic yield gap with improved nitrogen use efficiency: a modeling approach,2010,field_direct observation,Mexico (Yaqui Valley),N use efficiency in crops,0.0785398,15,0.00011781,0.069444444,0,0.069444444,180,0,0,2,0,,plo_res; samp_duration; study_span,Soil samples at farmers' fields,,,,,,,,,,
Estes,EcolAppl,Narrowing the agronomic yield gap with improved nitrogen use efficiency: a modeling approach,2010,field_direct observation,Mexico (Yaqui Valley),N use efficiency in crops,0.1963495,14,0.000274889,180,0,180,180,0,0,2,0,,plot_res; sampled_area; samp_duration; t_btwn_samp; study_duration: study_span,Weather station observations. Not sure of frequency in these,,,,,,,,,,
