fig, yr, yrmu, prop
1, 0-1, 0.5, 0.4001416430594901
1, 1-2, 1.5, 0.2669971671388102
1, 2-3, 2.5, 0.1494334277620397
1, 3-4, 3.5, 0.06161473087818699
1, 4-5, 4.5, 0.019830028328611894
1, 5-10, 7.5, 0.03966005665722379
1, 10-20, 15, 0.019830028328611894
1, 20-50, 35, 0.01558073654390939
1, 50-100, 75, 0.00991501416430599
1, >100, 150, 0.03895184135977339
2, 0-1, 0.5, 0.3983849259757739
2, 1-2, 1.5, 0.2890982503364738
2, 2-3, 2.5, 0.17227456258411844
2, 3-4, 3.5, 0.06837146702557204
2, 4-5, 4.5, 0.030148048452220744
2, 5-10, 7.5, 0.030148048452220744
2, 10-20, 15, 0.013997308209959603
2, 20-50, 35, 0.009152086137281306
2, 50-100, 75, 0
2, >100, 150, 0
